ID	TurnToFight_Text_1	TurnToFight_Text_2	TurnToFight_Text_3	Death_Text_1	Death_Text_2	Death_Text_3	TeammateDeath_Text_1	TeammateDeath_Text_2	TeammateDeath_Text_3	Idle_Text_1	Idle_Text_2	Idle_Text_3	Custom_Text_1	Custom_Text_2	Custom_Text_3	TurnToIdle_Text_1	TurnToIdle_Text_2	TurnToIdle_Text_3	KillEnemy_Text_1	KillEnemy_Text_2	KillEnemy_Text_3	Escape_Text_1	Escape_Text_2	Escape_Text_3
395	我看你是活腻味了！来吧，让你看看我的厉害！			我不想死啊...救命！			竟敢偷袭我们！			0						好家伙，给我等着！			你还太弱！根本不是我的对手！					
396	是那个老东西让你们来的，还是你们自己来送死？			不！我……我还不想死……我要向你们证明……我是最厉害的……			竟敢偷袭我们！			只要再给我一点时间，我一定不会让你们失望。我会让朱剑秋那个老东西感到后悔的！						好家伙，给我等着！			你这蠢材！去死吧！					
397		谁敢擅闯此地？	主人说过，你别想活着从这里离开！	你真厉害……	不要伤害……我的熊……		竟敢偷袭我们！			我的小狗熊，来，陪我玩吧！						胆小鬼！			你可真弱！			风紧，扯乎！		
398		难道你不怕我们的猛兽吗？	你会有好果子吃的！		算你狠……哎呦……		竟敢偷袭我们！			商大人的阵法就快练成了，大家都打起精神来！	天策府有什么好怕的，很快他们连自己怎么死的都不知道了！	都别大意了，邓大人可不是好惹的主！				胆小鬼！			来啊，再来打爷啊！			风紧，扯乎！		
399	活着是一件多么苦恼的事情啊，来吧，让我来好好改造你的身体！																							
400	没有人能反抗天一教！																							
401	那些无头无脑、不知疼痛的家伙，只是被我利用的傀儡而已。现在，看看我终极机甲龙的厉害！																							
402	一群活蹦乱跳的杂碎,我要吃掉你们!																		又一个新鲜的肉体!					
403	我要你成为我!																							
404	不審な奴だ！早く捕まえろ！	殺してやろう！								最近、城の中の警備が突然厳重になってるね。	つまらないんだな……													
405										だな、噂だと城主がかなりの数の中原人を雇ったらしい。	綺麗だろうこれ　このひと袋全部が昨日寇岛の商人からもらった陶器だぜ													
406	殺してやろう！									テメエら　平日でも気を抜くな　行き来する人混みの中怪しいヤツがいないかを注意しとけ、発見次第即時捕縛しろ	ここは主岛城だ、一匹たりとも逃がすな！　源明様の身の安全は絶対に守らなければならぬ　しっかと覚えとけ													
407	この程度で、主君と戦うつもりか？															失敗者はここから出てけ！								
408																			ひとたまりもねえ！					
409	衛兵！衛兵！敵将を発見！																							
410				ぐぁ　俺も老いたもんだな…																				
411	忍法禁地、邪魔を退散！																							
412				畜生！つ……強すぎる……												任務完了！								
413				痛い、姉上！　私もうダメだ……												よーし、主君はきっと喜んで！								
414	お前の中の悪霊を排除しろ！	誰かがこの儀式の進行を破壊する！		悪霊の力がそんなに強いのか！						儀式を続けろ……	儀式は今正常に進む。													
415				无念……																				
416	中原の武術を見せてみろ！			本当に強いな、俺の負けだ！															中原の武術、所詮そのものか！					
417	还要！顾不顾我死活了？我跟你拼了！																							
418																								
419	来吧！我需要更多！！																							
420	不！我被发现了快来帮我！！																							
421	不！我被发现了快来帮我！！																							
422	我不会让你得逞的！！																							
423	我不会让你得逞的！！																							
424	你们杀死了我妹妹，我要你们血债血偿！			妹妹，我就来见你！															你们的血肉正是我想要的祭物！					
425																你们这些胆小鬼！			哈哈哈！李复选错了人！					
426	噢哟！	……		……																				
427				可恶！															李复！你的筹码又少了一个！					
428										哎呀，哎呀，肚子又痛了。	吃亏肚子了可真要命，哎哟，哎哟。													
429	谁也不能阻止我们替天行道！			你会遭到报应的！																				
430	这是我们自家的事，外人滚开！			小兔崽子我不会饶了你们的！																				
434				混蛋，那些中原人不在这里。	我不想死啊！中原人真不在这里。	别杀我！那些中原人应该被带到了别处。																		
435				你是什么人，竟敢来捣乱我们制作逆天仪？	我是不会告诉你山河社稷图的事情的。	大家小心，《山河社稷图》不能让他抢去了。																		
436				别杀我！小邪子被带到了毒龙殿。	小邪子不在这里，要找他去毒龙殿吧。	小邪子的事情和我没关，是教主抓他去毒龙殿的。																		
437				你们这些汉人真无能，《山河社稷图》都在我们手中了还嚣张。	大家上，逆天仪的制作到了关键时期，要保护好它。	见识了逆天仪的真正威力吓死你们这帮汉人。																		
438				中原人都是没用的懦夫，哈哈。	你以为你救得了他们吗？	你杀了，我的同伴会把你炼成傀儡的。																		
439				你杀了我，天一教是不会放过你的。中原早晚要落入我们的手中，哈哈...																				
2001										胭脂盒～～胭脂盒～～我的胭脂盒～～														
5001																								
6001										神策狗贼们！你们放马过来吧！爷我不怕你们！	爷不会向这群神策狗贼低头的，我不能出卖师父，更不能出卖纯阳！	我要撑下去……一定要等到师父他们回来。他说了，等他回来，咱们就可以扬眉吐气了。												
7001										大家一定要顶住，不能让这些匪寇猖狂下去了！	小师弟，你醒醒，一定要顶住！咱们一起等师父回来，咱们说好了，一起等师父回来！	师弟小心后面的狗贼！竟敢暗箭伤人，看招！												
8001										古来多少神仙侣，为爱名山去复还。	世人皆道神仙好，哪知神仙苦难成。天地大道，有多少人能够领悟和超脱呢？	人法地，地法天，天法道，道法自然。顺应自然才是根本，何来那么多欲念呢？												
12001	啊，有花姑娘送上门来么！？	最讨厌异邦人！！																						
14001	滚开，别来我的地盘撒野，你们这些蛆虫！！！																							
15001	不能抢走我的面具！你去死吧！			我死也不会告诉你《易筋经》被带回战宝迦兰了！	智慧王会替我报仇的！																			
16001				まだだ！まだ、燃え尽きては……	くっ、ここで燃え尽きるわけには……	所詮、俺は此処までの器だったな……																		
17001	ブッころしてやろう！	おろか者！くらぇ！		ちくしょう！	くそ……																			
18001	受死吧！																							
19001				誓死效忠藤原大人！	作为东瀛武士，我们不会输的！																			
20002	休想坏了我等的好事！																							
21001	你找错对手了！																							
22001	赤脚的不怕穿鞋的！上吧，兄弟们！！	你糟蹋了我的好心情！！																						
23001	你走进我们的地盘了！																							
24001	快来，我看到生人了！！																							
25001	又有人可以拿来祭刀了！																							
26001	你想挑战我么！？																							
27001	武者的荣耀！！！																							
28001	嗷嗷嗷！！	嗷嗷！！！																						
29001	我的手下呢！？都跑到哪里去了！？																							
30001	伙计们，活动一下手脚吧！																							
31001	圣教主护佑！																							
33001	不要小看水手！！																							
34001	站住，别跑！																							
35001	谁又偷懒了！																							
36001	圣神不会宽恕你！																							
37001	バカやろう！！																							
38001	有人偷进矿场！																							
39001	帮我看下火，我去教训闯入的家伙！																							
40001	有人来找事了！																							
41001	去死吧！																							
42001	在怀念家乡之时被打扰是不可饶恕的！																							
43001	在怀念家乡之时被打扰是不可饶恕的！	200																						
44001	你错了！你错了！你不该来！																							
45001	俺がてめをぶつけて飛ばしてやろう！！！																							
46001	人肉！人肉！																							
47001	试试我的刀子！																							
48001	强盗是一份很有前途的职业！																							
49001	看什么看？																							
50001	准备挨揍吧！																							
51001	谁在那儿?																							
52001	杀！																							
53001	不要瞧不起低级武士！！																							
54001	有人来了，冲过去！！																							
55001	野郎们！放荡的攻击吧！																							
56001	你怎么敢来！我并非无名之辈！																							
57001	你惹恼我们了！																							
58001	不要打我啊！																							
59001	纳命来！																							
60001	有人送死来了！																							
61001	蠢货！																							
62001	你让我兴奋了！！																							
63001	哥哥最会伺候女人了！！																							
64001	我今天本来不想杀人！是你逼我的！！																							
65001	来吧！让你看看我的厉害！																							
66001	我要把你打扁！！																							
67001	有人闯寨！！																							
68001	武士的荣誉！																							
69001	站住！！																							
70001	站住！！																							
71001	是谁派你来的！																							
72001	后退者死！																							
73001	闻到花姑娘的味道了！																							
