id	content
792	\n\n\n\n　从前，有一座圆音寺，每天都有许多人上香拜佛，香火很旺。在圆音寺庙前的横梁上有个蜘蛛结了张网，由于每天都受到香火和虔诚的祭拜的熏托，蛛蛛便有了佛性。经过了一千多年的修炼，蛛蛛佛性增加了不少。\n\n　忽然有一天，佛主光临了圆音寺，看见这里香火甚旺，十分高兴。离开寺庙的时候，不轻易间地抬头，看见了横梁上的蛛蛛。佛主停下来，问这只蜘蛛：『你我相见总算是有缘，我来问你个问题，看你修炼了这一千多年来，有什么真知拙见。怎么样？』
793	\n\n\n\n\n　蜘蛛遇见佛主很是高兴，连忙答应了。佛主问到：『世间什么才是最珍贵的？』蜘蛛想了想，回答到：『世间最珍贵的是「得不到」和「已失去」。』佛主点了点头，离开了。\n\n　就这样又过了一千年的光景，蜘蛛依旧在圆音寺的横梁上修炼，它的佛性大增。一日，佛主又来到寺前，对蜘蛛说道：“你可还好，一千年前的那个问题，你可有什么更深的认识吗？”
794	\n\n\n\n\n　　蜘蛛说：『我觉得世间最珍贵的是「得不到」和「已失去」。』佛主说：『你再好好想想，我会再来找你的。』\n\n　　又过了一千年，有一天，刮起了大风，风将一滴甘露吹到了蜘蛛网上。蜘蛛望着甘露，见它晶莹透亮，很漂亮，顿生喜爱之意。蜘蛛每天看着甘露很开心，它觉得这是三千年来最开心的几天。突然，又刮起了一阵大风，将甘露吹走了。
795	\n\n\n\n\n\n　　蜘蛛一下子觉得失去了什么，感到很寂寞和难过。这时佛主又来了，问蜘蛛：『蜘蛛这一千年，你可好好想过这个问题：世间什么才是最珍贵的？』蜘蛛想到了甘露，对佛主说：『世间最珍贵的是「得不到」和「已失去」。』佛主说：『好，既然你有这样的认识，我让你到人间走一朝吧。』\n　　就这样，蜘蛛投胎到了一个官宦家庭，成了一个富家小姐，父母为她取了个名字叫蛛儿。
796	\n\n\n\n\n　一晃，蛛儿到了十六岁了，已经成了个婀娜多姿的少女，长的十分漂亮，楚楚动人。\n\n　这一日，新科状元郎甘鹿中士，皇帝决定在后花园为他举行庆功宴席。来了许多妙龄少女，包括蛛儿，还有皇帝的小公主长风公主。状元郎在席间表演诗词歌赋，大献才艺，在场的少女无一不被他折倒。但蛛儿一点也不紧张和吃醋，因为她知道，这是佛主赐予她的姻缘。
797	\n\n\n\n\n\n　过了些日子，说来很巧，蛛儿陪同母亲上香拜佛的时候，正好甘鹿也陪同母亲而来。上完香拜过佛，二位长者在一边说上了话。蛛儿和甘鹿便来到走廊上聊天，蛛儿很开心，终于可以和喜欢的人在一起了，但是甘鹿并没有表现出对她的喜爱。蛛儿对甘鹿说：『你难道不曾记得十六年前，圆音寺的蜘蛛网上的事情了吗？』
798	\n\n\n\n　甘鹿很诧异，说：『蛛儿姑娘，你漂亮，也很讨人喜欢，但你想象力未免丰富了一点吧。』说罢，和母亲离开了。\n\n　蛛儿回到家，心想，佛主既然安排了这场姻缘，为何不让他记得那件事，甘鹿为何对我没有一点的感觉？\n\n　几天后，皇帝下召，命新科状元甘鹿和长风公主完婚；蛛儿和太子芝草完婚。这一消息对蛛儿如同晴空霹雳，她怎么也想不通，佛主竟然这样对她。几日来，她不吃不喝，穷究急思，灵魂就将出壳，生命危在旦夕。
799	\n\n\n\n\n　太子芝草知道了，急忙赶来，扑倒在床边，对奄奄一息的蛛儿说道：『那日，在后花园众姑娘中，我对你一见钟情，我苦求父皇，他才答应。如果你死了，那么我也就不活了。』说着就拿起了宝剑准备自刎。\n\n　就在这时，佛主来了，他对快要出壳的蛛儿灵魂说：『蜘蛛，你可曾想过，甘露（甘鹿）是由谁带到你这里来的呢？是风（长风公主）带来的，最后也是风将它带走的。
800	\n\n\n\n\n\n甘鹿是属于长风公主的，他对你不过是生命\n\n中的一段插曲。而太子芝草是当年圆音寺门\n\n前的一棵小草，他看了你三千年，爱慕了你\n\n三千年，但你却从没有低下头看过它。蜘蛛\n\n，我再来问你，世间什么才是最珍贵的？』
801	\n\n\n\n　蜘蛛听了这些真相之后，好象一下子大彻\n\n大悟了，她对佛主说：『世间最珍贵的不是\n\n「得不到」和「已失去」，而是现在能把握\n\n的幸福。』刚说完，佛主就离开了，蛛儿的\n\n灵魂也回位了，睁开眼睛，看到正要自刎的\n\n太子芝草，她马上打落宝剑，和太子深深的\n\n抱着……
802	\n\n\n\n\n　尔时大慧菩萨摩诃萨与摩帝菩萨。俱游一切诸佛国土。承佛神力从座而起。偏袒右肩右膝着地。向佛合掌曲躬恭敬而说颂言。　\n\n　世间离生灭　譬如虚空花　智不得有无　\n　而兴大悲心　一切法如幻　远离于心识\n　智不得有无　而兴大悲心　世间恒如梦　\n　远离于断常　智不得有无　而兴大悲心　\n　知人法无我　烦恼及尔焰　常清净无相　\n　而兴大悲心　佛不住涅槃　涅槃不住佛\n　远离觉不觉　　
803	\n\n\n\n\n\n\n　若有若非有　法身如幻梦　云何可称赞\n　知无性无生　乃名称赞佛　佛无根境相　\n　不见名见佛　云何于牟尼　而能有赞毁　\n　若见于牟尼　寂静远离生　是人今后世　\n　离着无所见　\n　尔时大慧菩萨摩诃萨偈赞佛已。
804	\n\n\n\n　自说姓名　我名为大慧　通达于大乘\n　今以百八义　仰咨尊中上 \n　时世间解闻是语已。\n　普观众会而说是言　汝等诸佛子\n　今皆恣所问　我当为汝说　自证之境界　\n　尔时大慧菩萨摩诃萨蒙佛许已。\n　顶礼佛足以颂问曰。\n　云何起计度　云何净计度　云何起迷惑\n　云何净迷惑　云何名佛子　及无影次第\n　云何刹土化　相及诸外道　解脱至何所　\n　谁缚谁能解　云何禅境界　何故有三乘　\n　彼以何缘生　何作何能作　谁说二俱异　\n　云何诸有起　　
805	\n\n\n\n\n\n　云何无色定　及与灭尽定　云何为想灭　\n　云何从定觉　云何所作生　进去及持身\n　云何见诸物　云何入诸地　云何有佛子　\n　谁能破三有　何处身云何　生复住何处　\n　云何得神通　自在及三昧　三昧心何相　\n　愿佛为我说　云何名藏识　云何名意识\n　云何起诸见　云何退诸见　云何姓非姓　\n　云何唯是心　何因建立相　云何成无我 
806	\n\n\n\n\n\n　云何无众生　云何随俗说　云何得不起　\n　常见及断见　云何佛外道　其相不相违\n　何故当来世　种种诸异部　云何为性空　\n　云何刹那灭　胎藏云何起　云何世不动　\n　云何诸世间　如幻亦如梦　干城及阳焰　\n　乃至水中月　云何菩提分　觉分从何起\n　云何国土乱　何故见诸有　云何知世法　\n　云何离文字　云何如空花　不生亦不灭　　
807	\n\n\n\n\n　真如有几种　诸度心有几　云何如虚空　\n　云何离分别　云何地次第　云何得无影\n　何者二无我　云何所知净　圣智有几种　\n　戒众生亦然　摩尼等诸宝　斯并云何出　\n　谁起于语言　众生及诸物　明处与伎术　\n　谁之所显示　伽他有几种　长行句亦然\n　道理几不同　解释几差别　饮食是谁作　\n　爱欲云何起　云何转轮王　及以诸小王　\n　云何王守护　天众几种别　地日月星宿　\n　斯等并是何 
808	\n\n\n\n\n\n　解脱有几种　修行师复几　云何阿阇梨　\n　弟子几差别　如来有几种　本生事亦然\n　众魔及异学　如是各有几　自性几种异　\n　心有几种别　云何唯假设　愿佛为开演　\n　云何为风云　念智何因有　藤树等行列　\n　此并谁能作　云何象马兽　何因而捕取\n　云何卑陋人　此并谁能作　云何六时摄\n　云何一阐提　女男及不男　此并云何生\n　云何修行进　云何修行退　　
809	\n\n\n\n\n\n　瑜伽师有几　令人住其中　众生生诸趣　\n　何形何色相　富饶大自在　此复何因得　\n　云何释迦种　云何甘蔗种　仙人长苦行　\n　是谁之教授　何因佛世尊　一切刹中现　\n　异名诸色类　佛子众围绕　何因不食肉　\n　何因令断肉　食肉诸众生　以何因故食　\n　何故诸国土　犹如日月形　须弥及莲花　\n　卍字师子像　何故诸国土　如因陀罗网\n　覆住或侧住　一切宝所成
810	\n\n\n\n\n　何故诸国土　无垢日月光　或如花果形　\n　箜篌细腰鼓　云何变化佛　云何为报佛\n　真如智慧佛　愿皆为我说　云何于欲界　\n　不成等正觉　何故色究竟　离染得菩提　\n　如来灭度后　谁当持正法　世尊住久如　\n　正法几时住　悉檀有几种　诸见复有几\n　何故立毗尼　及以诸比丘　一切诸佛子　\n　独觉及声闻　云何转所依　云何得无相　\n　云何得世通　云何得出世　复以何因缘　\n　心住七地中　　
811	\n\n\n\n\n\n　僧伽有几种　云何成破僧　云何为众生　\n　广说医方论　何故大牟尼　唱说如是言\n　迦叶拘留孙　拘那含是我　何故说断常　\n　及与我无我　何不恒说实　一切唯是心　\n　云何男女林　诃梨庵摩罗　鸡罗娑轮围　\n　及以金刚山　如是处中间　无量宝庄严\n　仙人乾闼婆　一切皆充满　此皆何因缘　\n　愿尊为我说 
812	\n\n\n\n\n\n　尔时世尊。闻其所请大乘微妙诸佛之心最上法门。即告之言。善哉大慧。谛听谛听。如汝所问当次第说。即说颂言。\n\n　若生若不生　涅槃及空相　流转无自性　\n　波罗蜜佛子　声闻辟支佛　外道无色行\n　须弥巨海山　洲渚刹土地　星宿与日月　\n　天众阿修罗　解脱自在通　力禅诸三昧　\n　灭及如意足　菩提分及道　禅定与无量　\n　诸蕴及往来　乃至灭尽定
813	\n\n\n\n\n\n\n　心生起言说　心意识无我　五法及自性　\n　分别所分别　能所二种见　诸乘种性处　\n　金摩尼真珠　一阐提大种　荒乱及一佛\n　智所智教得　众生有无有　象马兽何因\n　云何而捕取　云何因譬喻　相应成悉檀　\n　所作及能作　众林与迷惑　如是真实理　\n　唯心无境界　诸地无次第　无相转所依\n　医方工巧论　伎术诸明处 
814	\n\n\n\n\n\n　须弥诸山地　巨海日月量　上中下众生　\n　身各几微尘　一一刹几尘　一一弓几肘\n　几弓俱庐舍　半由旬由旬　兔毫与隙游　\n　虮羊毛穬麦　半升与一升　是各几穬麦　\n　一斛及十斛　十万暨千亿　乃至频婆罗　\n　是等各几数　几尘成芥子　几芥成草子\n　复以几草子　而成于一豆　几豆成一铢　\n　几铢成一两　几两成一斤　几斤成须弥　　
815	\n\n\n\n\n\n　此等所应请　何因问余事　声闻辟支佛　\n　诸佛及佛子　如是等身量　各有几微尘\n　火风各几尘　一一根有几　眉及诸毛孔　\n　复各几尘成　如是等诸事　云何不问我　\n　云何得财富　云何转轮王　云何王守护　\n　云何得解脱　云何长行句　淫欲及饮食\n　云何男女林　金刚等诸山　幻梦渴爱譬　\n　诸云从何起　时节云何有　何因种种味 
816	\n\n\n\n\n　女男及不男　佛菩萨严饰　云何诸妙山\n　仙闼婆庄严　解脱至何所　谁缚谁解脱\n　云何禅境界　变化及外道　云何无因作\n　云何有因作　云何转诸见　云何起计度\n　云何净计度　所作云何起　云何而转去\n　云何断诸想　云何起三昧　破三有者谁\n　何处身云何　云何无有我　云何随俗说\n　汝问相云何　及所问非我　云何为胎藏\n　及以余支分　云何断常见　云何心一境\n　云何言说智　戒种性佛子　云何称理释\n　云何师弟子　众生种性别　饮食及虚空
817	\n\n\n　聪明魔施设　云何树行布　是汝之所问\n　何因一切刹　种种相不同　或有如箜篌\n　腰鼓及众花　或有离光明　仙人长苦行\n　或有好族姓　令众生尊重　或有体卑陋\n　为人所轻贱　云何欲界中　修行不成佛\n　而于色究竟　乃升等正觉　云何世间人\n　而能获神通　何因称比丘　何故名僧伽\n　云何化及报　真如智慧佛　云何使其心\n　得住七地中　此及于余义　汝今咸问我\n　如先佛所说　一百八种句　一一相相应\n　远离诸见过　亦离于世俗　言语所成法\n　我当为汝说　佛子应听受　\n\n　尔时大慧菩萨摩诃萨白佛言。\n　世尊。何者是一百八句。
818	\n\n\n【韦驮献杵第一式】\n\n\n　　　　　立身期正直，环拱手当胸。\n\n　　　　　气定神皆敛，心澄貌亦恭。\n\n\n【韦驮献杵第二式】\n\n\n　　　　　足趾拄地，两手平开。\n\n　　　　　心平气静，目瞪口呆。
819	\n\n\n【韦驮献杵第三式】\n\n\n\n　　　　掌托天门目上视，\n　　　　足尖著地立身端。\n　　　　力周骽胁浑如植，\n　　　　咬紧牙关不放宽。\n　　　　舌可生津将腭抵，\n　　　　鼻能调息觉心安。\n　　　　两拳缓缓收回处，\n　　　　用力还将挟重看。
820	\n\n【摘星换斗式】\n\n　　　　只手擎天掌覆头，\n　　　　更从掌内注双眸。\n　　　　鼻端吸气频调息，\n　　　　用力收回左右侔。\n\n\n\n【倒曳九牛尾式】\n\n　　　　两骽后伸前屈，\n　　　　小腹运气空松。\n　　　　用力在于两膀，\n　　　　观拳须注双瞳。
821	\n【出爪亮翅式】\n\n　　　挺身兼怒目，推手向当前。\n　　　用力收回处，功须七次全。\n\n【九鬼拔马刀式】\n\n　　　侧首湾肱，抱顶及颈。\n　　　自头收回，弗嫌力猛。\n　　　左右相轮，身直气静。\n\n【三盘落地式】\n\n　　　上腭坚撑舌，张眸意注牙。\n　　　足开蹲似踞，手按猛如拏。\n　　　两掌翻齐起，千斛重有加。\n　　　瞪睛兼闭口，起立足无斜。
822	\n\n\n【青龙探爪式】\n\n\n\n　　　　青龙探爪，左从右出。\n\n　　　　修士效之，掌平气实。\n\n　　　　力周肩背，围收过膝。\n\n　　　　两目注平，息调心谧。
823	\n\n【卧虎扑食式】\n\n\n\n　　　　两足分蹲身似倾，\n　　　　屈伸左右骽相更。\n　　　　昂头胸作探前势，\n　　　　偃背腰还似砥平。\n　　　　鼻吸调元均出入，\n　　　　指尖著地赖支撑。\n　　　　降龙伏虎神仙事，\n　　　　学得真形也卫生。
824	\n\n\n【打躬式】\n\n\n\n　　　　两手齐持脑，垂腰至膝间。\n\n　　　　头惟探胯下，口更啮牙关。\n\n　　　　掩耳聪教塞，调元气自闲。\n\n　　　　舌尖还抵腭，力在肘双弯。
825	\n【掉尾式】\n\n\n　　　　膝直膀伸，推手自地。\n　　　　瞪目昂头，凝神壹志。\n　　　　起而顿足，二十一次。\n　　　　左右伸肱，以七为志。\n　　　　更作坐功，盘膝垂眦。\n　　　　口注于心，息调于鼻。\n　　　　定静乃起，厥功维备。\n　　　　总考其法，图成十二。\n　　　　谁实贻诸，五代之季，\n　　　　达摩西来，传少林寺。\n　　　　有宋岳侯，更为鉴识，\n　　　　却病延年，功无与类。
826	\n\n【别山僧】\n\n\n\n　　　　何处名僧到水西，\n　　　　乘舟弄月宿泾溪。\n　　　　平明别我上山去，\n　　　　手携金策踏云梯。\n　　　　腾身转觉三天近，\n　　　　举足回看万岭低。\n　　　　谑浪肯居支遁下，\n　　　　风流还与远公齐。
827	\n\n\n【晨诣超师院读禅经】\n\n\n\n　　　　汲井潄寒齿，清心拂尘服。\n　　　　闲持贝叶书，步出东斋读。\n　　　　真源了无取，妄迹世所逐。\n　　　　遗言冀可冥，缮性何由熟？\n　　　　道人庭宇静，苔色连深竹。\n　　　　日出雾露余，青松如膏沐。\n　　　　淡然离言说，悟悦心自足。
828	\n\n\n【出游】\n\n\n\n\n　　　　少时不见山，便觉无奇趣。\n\n　　　　狂发从乱歌，情来任闲步。\n\n　　　　此心谁共证，笑看风吹树。
829	\n\n\n\n【春晓】\n\n\n　　　　春眠不觉晓，\n\n　　　　处处闻啼鸟。\n\n　　　　夜来风雨声，\n\n　　　　花落知多少？
830	\n\n\n【归嵩山作】\n\n\n\n　　清川带长薄，车马去闲闲。\n\n　　流水如有意，暮禽相与还。\n\n　　荒城临古渡，落日满秋山。\n\n　　迢递嵩高下，归来且闭关。
831	\n\n\n\n【寒山顶上月轮孤】\n\n\n　　　　寒山顶上月轮孤，\n\n　　　　照见晴空一物无。\n\n　　　　可贵天然无价宝，\n\n　　　　埋在五阴溺身躯。
832	\n\n\n【哭僧】\n\n\n　　　　　道力自超然，\n　　　　　身亡同坐禅。\n　　　　　水流元在海，\n　　　　　月落不离天。\n　　　　　溪白葬时雪，\n　　　　　风香焚处烟。\n　　　　　世人频下泪，\n　　　　　不见我师玄。
833	\n\n【题大禹寺义公禅房】\n\n\n\n　　　　义公习禅寂，结宇依空林。\n\n　　　　户外一峰秀，阶前众壑深。\n\n　　　　夕阳连雨足，空翠落庭阴。\n　　　　　　\n　　　　看取莲花净，方知不染心。
834	\n\n\n【终南别业】\n\n\n\n　　　　中岁颇有道，晚家南山陲。\n\n　　　　兴来每独往，胜事空自知。\n\n　　　　行到水穷处，坐看云起时。\n\n　　　　偶然值林叟，谈笑无还期。
835	\n\n\n【辋川集·辛夷坞】\n\n\n\n　　　　　木末芙蓉花，\n\n　　　　　山中发红萼。\n\n　　　　　涧户寂无人，\n\n　　　　　纷纷开且落。
836	\n\n\n【题破山寺后禅院】\n\n\n\n　　　　清晨入古寺，初日照高林。\n\n　　　　竹径通幽处，禅房花木深。\n\n　　　　山光悦鸟性，潭影空人心。\n\n　　　　万籁此都寂，但馀钟磬音。
837	\n\n\n\n【鹿柴】\n\n\n　　　　　空山不见人，\n\n　　　　　但闻人语响。\n\n　　　　　返景入深林，\n\n　　　　　复照清台上。
838	\n\n【东家一老婆】\n\n\n\n\n　　　东家一老婆，富来三五年。\n\n　　　昔日贫于我，今笑我无钱。\n\n　　　渠笑我在后，我笑渠在前。\n\n　　　相笑傥不止，东边复西边。\n\n
839	\n【庐山东林寺杂诗】\n\n\n　　　　崇岩吐清气，幽岫栖神迹。\n\n　　　　希声奏群籁，响出山溜滴。\n\n　　　　有客独冥游，径然忘所适。\n\n　　　　挥手抚云门，灵关安足辟。\n\n　　　　流心叩玄扃，感至理弗隔。\n\n　　　　孰是腾九霄，不奋冲天翮。\n\n　　　　妙同趣自均，一悟超山益。
840	\n\n\n【题义公禅房】\n\n\n　　　　义公习禅寂， 结宇依空林。\n\n　　　　户外一峰秀， 阶前众壑深。\n\n　　　　夕阳连雨足，空翠落庭阴。\n\n　　　　看取莲花净，方知不染心。
841	送僧之金陵\n\n胜游生末迹，杳自狎时群。卷衲消寒木，扬帆寄断云。曙瓶花外汲，午磬浪边闻。别后石城月，依依远共分。
842	\n　　　　　五百罗汉\n\n　　有一和尚寺要新造五百罗汉，无赖某甲衣食无着，便去对和尚说能够一手包办，而且工钱便宜。和尚大喜，每天供给他好酒好菜。某甲要了一间空房子，命和尚挑来几担水和泥巴，然后关起门来，吩咐不要去打扰他。\n　　一个月过去了，和尚们还不见动静。有一天，他们推开房门进去一看，只见某甲把泥巴搓成了几百颗小泥丸。
843	\n\n\n和尚问：“你不是说能造五百罗汉么，为什么在这里搓泥丸？”某甲大模大样地说：“造五百罗汉，需眼珠一千颗，我这不是正在造么？”
844	\n　　　　阿若憍陈如尊者\n\n　　阿若憍陈如尊者，为「五百罗汉」第一位。\n　　阿若，意为了解，或译初知、已知、了教、了本际、知本际、无智；憍陈如，为其姓，意为族者。《佛所行赞转法轮品》：“以彼知法故，名阿若憍怜”。\n　　尊者最初乃是佛陀为太子时的五位侍从之一。太子出家求道之时，他与其它四位侍从奉净饭王之命，亲伴太子在林中苦行修道。后见太子废苦行，逐与其它四人离去。
845	\n\n\n佛陀成道后，访憍陈如等于波罗奈之鹿野苑。五人见其来也，初以其退失净行，相约勿为礼；佛至，不觉肃然致敬。佛告以「我即是佛，具一切智，寂静无漏，心得自在。汝等须来，当示汝法，教授于汝。汝应听说，如说修行，即于现身得证诸漏」。五人乃执弟子礼，即所谓五比丘是。五比丘以佛之舍苦行为疑，佛乃进而教之曰：「有二种障：一者、心着欲境而不能离，是非解脱之因。
846	\n\n\n二者、不正思惟，自苦其身而求出离，永无解脱。离此二边，乃为中道，精勤修习，能至涅盘」。此中道云者，即八正道，为佛教精义所在；自利、利他，悉应于此中求之。此就教授之中心立言，若详示生死流转之苦痛及原因，解脱生死之圣境，离苦得乐之正道，即四谛是，有『转法轮经』等载之。闻法已，憍陈如首先悟入正法，因得「阿若憍陈如」之称。 
847	\n　　　　五百罗汉第贰尊\n\n　　阿泥楼尊者为佛陀十大弟子之一。\n　　古代印度迦毗罗卫国城之释氏，佛陀之从弟，关于其身世。《起世经》卷十、《五分律卷》十五、《众许摩诃帝经》卷二等载为斛饭王之子，《佛本行集经》卷十一、《大智度论》卷三则载为甘露饭王之子。据《佛本行集经》卷五十八、《佛五百弟子自说本起经·阿那律品》、《大智度论》卷十一等载，尊者与阿难、难陀、优婆离等于佛陀成道后回乡之时出家为弟子。出家后的阿泥楼，修道精进，堪为楷模。
848	\n\n\n　　他曾于佛陀说法中酣睡，被佛呵责，乃立誓不眠，以致患眼疾而失明。然以修行益进，心眼渐开，终于成为佛弟子中“天眼第一”，能见天上地下十方域之六道众生。佛陀入灭之际，他侍立于涅盘床前守护。佛陀涅盘后，他曾参加第－次结集，贡献卓著。\n　　阿泥楼，又作阿那律、阿尼庐陀、阿□楼驮、阿难律、阿楼陀。意译作无灭如、无灭、如意、无障、无贪、随顺义人、不争有无。 
849	\n　　　　五百罗汉第叁尊\n\n　　有贤无垢尊者，即无垢威德菩萨。垢，指妄惑污秽净心，即烦恼。佛教有六垢、七垢之说。\n　　据《大方广三戒经》卷上载，尊者位居普贤菩萨和文殊菩萨之下，但具有普贤、文殊二菩萨的慈悲与功德。他已远离了一切烦恼，眼界清净无所不见，能呈现佛祖所具有的一切非凡神通。
850	\n\n\n智慧之光无所不照，并且能照及已往与未来。能在所有佛刹寺院显现自己无量的功德身相。能不知疲倦地到达一切皈依了佛教的地方。他施慧于万物，却不居德自傲，依然心地寂静、思绪不乱。在世间弘扬佛法，引导众生脱离苦海，到达极乐的彼岸。 
851	\n　　　　五百罗汉第伍尊\n\n　　迦留陀夷尊者学问高深，为佛陀出家前的宫廷老师。为佛弟子中恶行多端之比丘，六群比丘之一。后与其妻子善岁皆皈依佛教，出家为僧。\n　　据《增一阿含经》卷四十七、《四分律》卷十四等载，迦留陀夷其身极黑，尝夜行乞食，时天黑暗，乞至他家，他家妇人正怀身孕，于闪电中乍见之，谓鬼神来，乃惊怖堕胎，后闻迦留陀夷为佛弟子，妇人乃发声恶骂。
852	\n\n\n如来知之，即制定过午不得乞食之戒。又，《中阿含》卷二十九《龙象经》、《长阿含》卷十二《自欢喜经》、《有部毗奈耶破僧事》卷二等诸经，迦留陀夷有同名异人数人。\n　　迦留陀夷，又作迦楼陀夷、迦庐陀夷、迦路娜、迦庐。或作黑伟陀夷。意泽为大粗黑、黑曜时起、黑上等。 
853	　　　　五百罗汉第拾尊\n\n　　阿若，意为了解，或译初知、已知、了教、了本际、知本际、无智；憍陈如，为其姓，意为族者。《佛所行赞转法轮品》：“以彼知法故，名阿若憍怜”。\n　　尊者最初乃是佛陀为太子时的五位侍从之一。太子命名时，他断言太子将会成佛。据《佛本行集经》卷二十五载，悉达多太子出家求道之初，他与其他四位侍从奉净饭王之命，亲伴苦行之太子在林中修道。后见太子废苦行，遂与其他四人离去。
854	\n\n佛陀成道后，于鹿苑初转法轮，向他们讲四谛法。成为佛陀所度五比丘之一。乃佛陀最初之弟子。据《增一阿含经·弟子品》载，他为佛陀声闻弟子之一，宽仁博识，善能劝化，将养圣众，不失威义，为最早受法味而思惟四谛者，他成为比丘后的事迹不详，仅知在教团中为最长老，常居上座之位。\n　　于佛弟子中最先第一悟。\n　　阿若憍陈如，又作阿若多憍陈如、阿惹憍陈如、阿惹憍邻、阿若拘邻、阿若俱邻。或作憍陈如、憍陈那、拘邻若、枸邻、俱邻、居邻、居伦等。
855	\n　　　　五百罗汉第拾壹尊\n\n　　迦那行那尊者，佛祖的声闻弟子。“迦那”为其名。“行那”，意为在逆境中，于所学诸法不得不失，不来不去，心身安住无所动，是一种好品德。\n　　佛教戒律规定，僧众必须着僧衣，免冠露顶。据《舍利弗问经》载：尊者为比丘时，曾外出化缘，行至一个名叫大林的村落时气候突变，酷寒无比，耐寒的鸟兽悉被冻死。
856	\n\n\n值此危难之际，他内着僧衣，外罩俗衣，方免于一死。他能于困境中知道权便，尽管身着俗衣，然身心安住，佛教信仰坚定不移，尊者具有上述品德，故称“迦那行那”。
857	\n　　　五百罗汉第壹拾贰尊\n\n　　婆苏盘豆尊者，俗称世亲菩萨。古印度罗阅城人，姓毗舍。旧译作天亲，乃世人亲近供养之意。为无著菩萨之同母弟，被禅宗尊为西天二十八祖之第二十一祖。\n　　尊者父光盖，母严一，家富无子，父母乃祷佛塔求子，一夕，母梦吞明暗二珠，觉而有孕，后一月果产一子，即尊者。年十五，礼光度罗汉出家，感毗婆诃菩萨为其授戒。
858	\n\n\n未师事闍夜多之前，常一食不卧，六时礼佛，清静无欲，为众所归。闍夜多欲度之，乃对众云：“我不求道，亦不颠倒；我不礼佛，亦不轻慢；我不长坐，亦不懈怠；我不一食，亦不杂食；我不知足，亦不贪欲。心无所希，名之曰道。”他闻其说，遂发无漏智，后继闍夜多衣钵，宣通佛经，广化众生，行化至后那提国时，付法予摩奴罗，跏趺而逝。
859	\n\n\n　　又据考证，世亲有同名之二人，即著《俱舍论》之世亲和无著之弟世亲。之所以将二人混同，系因真谛所译之《婆薮盘豆法师传》之载，以二人为一人。\n　　婆苏盘豆，又作婆盘豆、筏苏盘豆、筏苏畔徒、婆薮盘头、婆修盘头。
860	\n　　　　五百罗汉第拾肆尊\n\n　　优楼频螺尊者，本名摩诃迦叶，又叫摩诃迦叶波。梵语“摩诃”意为“大”，故又称为大迦叶。为三迦叶之一。尊者善行头陀，热心供养僧伽，被称为“头陀第一”。“供养第一”。\n　　尊者生于古印度摩揭陀国王舍城郊的一个婆罗门家庭。后信奉佛教，归依佛陀。在十大弟子中，以严格遵守头陀行而著名。“头陀行”是古印度的一种苦行，修行者必须行脚、乞食、露宿，禁止各种欲望，即通称的苦行僧。
861	\n\n\n据说有一次佛陀曾劝他，年纪大了，不必再坚持，被婉言谢绝。\n　　相传佛陀在灵鹫山为众弟子说法，有大梵天王献金色波罗花表示敬意。佛陀拈花示众，众弟子不知何意，只有尊者当下破颜微笑。于是佛陀高兴地宣布：我有正法眼藏，涅盘妙心，实相无相、微妙法门，付于摩诃迦叶。中国禅佛教以心传心、“拈花微笑”的典故即出于此。佛陀圆寂后，他召集各地长老，主持了佛教史上第一次结集，由阿难诵出经文，优婆离诵出律典，整理诵出释迦以往的教导，使大家明确遵守。
862	\n\n\n从而使佛教经典得以保存流传。“据说他后来隐身于王舍城郊的鸡足山中，等待将来弥勒佛降世时，再出世转交佛陀遗留的衣钵，协助弥勒佛教化众生。在佛十大弟子中，他与阿难被称为”二贤者“，常被安置在释迦佛像的两边。
863	\n　　　　　　一宿觉\n\n　　玄觉禅师初见六祖慧能大师，手持锡拄杖，围绕六祖走了三圈，然后站立在六祖面前，纹丝不动。六祖问：“禅师具足三千威仪，八万细行。从何方而来，如此傲慢？”玄觉禅师说：“生死事大，无常迅速。”六祖问：“为什么不体会无生之法，这样就无有迅速了？”玄觉禅师说：“万物本体本来就是无生无灭，了知了本体就没有快和慢了。”六祖说：“是这样！是这样！”于是在场的僧人无不感到惊讶。
864	\n\n\n　　玄觉禅师展具向六祖顶礼，礼毕就要离开。六祖问：“返回得不是太快了吗？”玄觉禅师说：“本来就无所谓动和止，哪里谈得上快和慢呢？”六祖问：“那谁知道本来就无所谓动和止？”玄觉禅师说：“你自己生了分别。”六祖问：“你已经体会到了无生之意了？”玄觉禅师说：“无生哪里还有意呀！”六祖问：“无意又是谁在起分别呢？”玄觉禅师说：“分别不是意！”六祖赞叹地说：“善哉！善哉！请留住一宿。” 
865	\n　　　　　　震旦传法\n\n　　一日，达磨大师对慧可说：“我有一领袈裟，传授于你。”慧可说：“法既以心传心，复无文字，用此袈裟何为？”达磨说：“内授法印，以契证心；外传袈裟，以定宗旨。虽则袈裟不在法上，法亦不在袈裟，于中三世诸佛，递相授记。我今以袈裟，亦表其信，令后代传法者有禀承，学道者得知宗旨，断众生疑故。”慧可便顶礼。
866	\n\n\n　　亲事九年，昼夜不离左右。达磨大师告诉他：“如来以净法眼并袈裟付嘱大迦叶，如是展转，乃至于我。我今嘱咐于你。你听我偈语：‘吾本来兹土，传教救迷情。一花开五叶，结果自然成。” 
