classid	subclassid	classtitle	question	answer
12	13		如果我每周的战阶积分都低于2000，是否就永远得不到战阶、购买不到威望装备？	我们的战阶系统希望保证绝大多数参与阵营活动的阵营玩家都能够获得战阶。在阵营面板所显示的下级战阶需要的分数，是一个参考值，具体会根据阵营的活跃程度不同而有所变更。所以，实际上的升级所需要的战阶积分可能会低于该参考分数。分数低的玩家也不要担心，只要通过努力，经过一段时间的累积也能购买越多的装备。
12	14		我是弱势阵营，我们阵营一直完成不了攻防任务，而对立阵营因为强势每次都能完成，是否我们阵营的战阶就比对立阵营低？	不用担心，浩气盟与恶人谷的战阶分别单独结算。玩家只在本阵营内部进行战阶积分排名，然后再根据排名决定战阶。即使是弱势阵营，每周的的高阶战阶人数也不会比对方少。
12	15		战阶称号如何获得？称号及其属性如何激活？	获得战阶的同时，自动获得对应战阶称号。可在称号面板的"阵营称号"选择在自己人物上方显示自己的战阶称号，成功装备称号后，若该称号有属性则自动激活。
12	16		是不是第8-14级战阶每周都限定了每阵营只能有150人获得？其他人要怎样才能获得高级战阶？	不是的。除了第14级战阶限定每周每阵营三人外，其余各级战阶均不限人数。所谓的人数限制，是指两阵营各自战阶积分排名在前150名的玩家，比其他人能更快的升至8-14级战阶。排名之外的玩家，只要多努力一段时间，通过每周的积分累积，同样也能达到高级战阶。
12	17		我是恶人谷玩家，本周我获得了10000战阶积分，下周获得了第五级战阶。可是一个浩气盟玩家，只需要3000战阶积分就同样获得了第五级战阶，为什么？	因为我们的战阶是在各个阵营内部分别结算的，而你的阵营属于强势阵营。通常来说，强势阵营较弱势阵营更容易获得更多的战阶积分，但是获取战阶的竞争会也比弱势阵营更加激烈。
12	18		转阵营后，或者退出阵营至中立，我的战阶及积分如何处理？	转阵营后，战阶等级不变，但是失去原有阵营称号，获得新阵营同样级别的战阶称号。截止至转阵营时，当周所获得的战阶积分清零。退出阵营至中立，本周内所获战阶积分清零，保留原有战阶等级，但失去战阶称号和属性。重新加入任意一方阵营，战阶等级从之前原有的战阶开始计算。
12	19		某人是强势阵营玩家，在本周其轻松获得较高战阶积分后，转换阵营至弱势方，是否会引起不公平竞争？	转阵营时，玩家当周内至转阵营前所获的战阶积分会被直接清零。因此，想要利用转阵营来投机取巧是行不通的。并且，再次转换阵营需要在30天后方可，此30天内该玩家与弱势阵营其他玩家是站在同一起跑线上获得战阶积分、升级战阶。
12	20		我今天完成了阵营攻防战任务，得到了1000分，为什么面板上显示的战阶积分只有424分？	战阶积分与阵营攻防战分数不同。前者是通过各种阵营活动获得的分数，而后者仅仅是记录阵营攻防战任务的完成度。阵营面板上显示的是战阶积分，而屏幕右边显示的是任务完成度分数。
12	21		为什么我击杀敌对阵营的首领，每次所获的战阶积分都不尽相同？	击杀一名敌对阵营首领，所能获得的总战阶积分是固定的。但是每次参与击杀该首领的玩家人数可能不尽相同，因此导致按人数分摊到各自所能所得的战阶积分不同。该规则与之前击杀阵营首领获得威望规则相同，只要参与击杀并不被重伤，就可获得战阶积分。
12	22		为什么有时候击杀一名玩家，所获战阶积分与官网所说的分值不同?	击杀敌对阵营玩家获得战阶积分的规则与威望获取相同。一名玩家在一小时内，每多被击杀一次，则参与击杀的玩家所能获得的战阶积分就衰减一次，达到十次后击杀该玩家就无法获得战阶积分了。官网所给数值仅仅是未衰减时所能获得的最多战阶积分，实际分值会根据具体情况而有所不同。
12	23		在击杀敌对阵营首领或玩家时，治疗要如何获得战阶积分？	由于这两种情况下获得战阶积分的规则与威望规则相同，因此治疗同样可以获得不低的战阶积分。只要给参与战斗的玩家进行治疗，就可以得分，如果与其组队还能额外获得战阶积分。
12	24		战魂劫版本新战阶威望装如何购买？	战魂劫版本推出了全套135品紫色和150品紫色六件套威望装和对应武器、暗器囊、项链、戒指、腰坠，并在之后将六件套威望装和武器、暗器囊提升至145品紫色和165品紫色。除了三种饰品外，其余威望装备购买均需要战阶，类似于声望商人出售装备需要对应声望级别。
12	25		“巴蜀风云”新剑网三新战阶威望装如何购买？	“巴蜀风云”新剑网三推出了全套205品紫色、230品紫色和255品紫色六件套威望装和武器、暗器囊。其中，205品威望装可直接使用威望购买，而230和255品威望装分别需要对应级别的战阶才可购买。
12	26		要多少级战阶才能购买当前版本最高品的威望装备？必须达到14级么？	只需要达到8-14级战阶的任何一级，即可购买对应部位的当前版本最高品紫色威望装备。不同级别战阶购买的部位不同，越高的战阶可购买的威望装备也越多，14级战阶可以购买当前版本最高品紫色威望装。
