TabID	Name	Title	Image1	Note1	Image2	Note2	Image3	Note3	Description
75	介绍	战魂劫	ui\Image\Helper\战魂劫.tga						      28号开放内容：\n      全新的阵营战阶系统：最是英雄用武时，通过不懈的努力终将获得那最高的荣誉。\n      全新阵营日常攻防战：攻守有序显神威，不破敌营誓不休。\n      全新的士气系统：士气低靡时，将有强力首领带领直击敌方要害，更有战魂效果，可使能力大幅提升。\n      阵营转换：隐元会提供的隐蔽服务，如有意向可前往三大主城帮会区寻找“玄字陆捌”和“玄字伍叁”。\n      战魂令：50000威望送给您。
76	阵营战阶		ui\Image\Helper\战阶装备2.tga	恶人谷最高战阶威望装（纯阳）与纯阳剑属性图展示。恶人谷战阶商人--董海健<L 99>	ui\Image\Helper\战阶装备1.tga	浩气盟最高战阶威望装（天策）与天策枪属性图展示。浩气盟战阶商人--王雨瑶<L 100>			阵营战阶：\n      大江东去浪淘尽，多少风流人物。七星战十恶，曾经是武林佳话。如今江湖上人才辈出，一份新的江湖英雄榜，再次掀起血雨腥风。\n      侠士参与战场，阵营攻防战，击杀敌对阵营玩家等各种PVP活动，都可以获得战阶积分。每一周，浩气盟和恶人谷会分别排出自己阵营的战阶等级，授予各位侠士。参与PVP越积极的侠士，获得的排名自然就越高。同时对应各个等级的战阶，侠士们还可以获得对应等级的高级作战用装备。
77	阵营攻防战		ui\Image\Helper\阵营攻防战任务NPC.tga	阵营攻防战任务给予NPC分别是：浩气盟的王洵和恶人谷的何非笑。	ui\Image\Helper\攻防战任务奖励.tga	侠士们可通过完成攻防战的日常任务获得丰厚的威望、战阶积分等奖励。			阵营攻防战：\n     浩气盟与恶人谷的大战一触既发。每周一，三，五恶人谷发出击杀令，攻打浩气盟落雁城，挑战武林七星。 而每周二，四，六浩气盟会反击恶人谷，直接杀向烈风集，誓要彻底铲除十大恶人。\n     此六日的13:00~14:00、19:00~20:00、21:00~22:00、0:00~1:00、2:00~3:00这5个时段，是武林高手们内功发挥的最佳时候。参战前可事先接取任务，或直接进入作战地图，系统将会自动接取任务，完成任务可获得丰厚的奖励。另：周日的19:00~24:00侠士们可自由击杀敌对阵营首领。
78	据点争夺战		ui\Image\Helper\浩气恶人据点.tga	1、恶人谷、浩气盟在南屏山、昆仑和恶人谷和浩气盟地图均有各自的据点，且有守将守卫着。	ui\Image\Helper\南屏山据点.tga	2、据点守将一旦重伤，埋伏在据点内的奸细会迅速出动占据据点，并且为自己阵营的侠士们提供重伤后的治疗。	ui\Image\Helper\昆仑据点.tga	3、各据点被抢下以后，只拥有一个小时的控制权。之后新的据点守将会被派遣过来拿回据点，各位侠士要多加小心。	
79	士气系统		ui\Image\Helper\浩气盟援军首领.tga	1、在浩气盟，恶人谷，昆仑，南屏山四张地图战斗的侠士，将会因为击杀敌对侠士，敌对首领，敌对守卫等而影响自己阵营的士气。	ui\Image\Helper\恶人援军首领.tga	2、当自己阵营士气低落时，阵营内会派出援军，直击敌人要害所在。同时自己阵营的士气也会大涨。侠士们会获得战魂效果，能力大幅提升。	ui\Image\Helper\战魂buff.tga	3、当阵营一方士气占优势，刻度偏向优势一方，则可以攻击对方三个援军首领；而占劣势一方，在四张阵营地图将会享受“战魂”增益效果，个人能力大幅提升。	
80	阵营转换		ui\Image\Helper\转阵营NPC.tga	帮会阵营总管<L 102>     阵营大使<L 101>\n黑市商人<L 103>（需要在城市地图才可查看位置）	ui\Image\Helper\战魂令.tga	65级及以上的侠士都将会收到一封附有“战魂令”的信件，且加入阵营后方可使用此令，可获得5万阵营威望。			阵营转换及威望赠送：\n     各大城市里隐元会的朋友们将为侠士们提供转阵营服务。该服务不仅向个人开放，也向一次性转阵营的帮会开放。个人转阵营可寻找“玄字陆捌”，帮会转阵营可寻找“玄字伍叁”，成功转阵营后，可寻找“黑市商人”兑换当前阵营的装备和马匹。注意：只能从强势阵营转弱势阵营。\n     今日，浩气盟主谢渊，恶人谷主王遗风，都分别为其下弟子发出了战魂令牌。加入阵营的侠士使用令牌以后，可以立即获得50000威望，速速购买到合适的装备，为大战做好准备吧。
81	战江湖		ui\Image\Helper\紫陨和天外陨铁.tga	一人回归，全团紫陨；一人入团，陨铁不难；当团队中加入了回归队员，每次击杀特定的首领都将额外获得紫陨和天外陨铁。	ui\Image\Helper\公测活动道具.tga	江湖秘制四大灵药，挑战秘境更强力。			尘封账号再会首，共聚一堂战江湖\n      尘封账号重出江湖，好处多多，切莫错过。回归便可获得阵营110紫装三件，四个阵营日常奖励翻倍，挖宝时还可获得紫陨。且一人回归全团受益，挑战秘境可以额外获得“紫陨”，且掉落“天外陨铁”的首领也会额外掉落。并有强力灵药帮助迅速回归主流团队。\n      尘封账号通过官网专题报名，可以在未来新开的战江湖服务器选择门派、直升70级！\n      尘封帐号：10月25日前30天及以上没有登录游戏的帐号。\n     此活动即将开放，敬请期待！
82	介绍	战魂劫	ui\Image\Helper\战魂劫.tga						      28号开放内容：\n      全新的阵营战阶系统：最是英雄用武时，通过不懈的努力终将获得那最高的荣誉。\n      全新阵营日常攻防战：攻守有序显神威，不破敌营誓不休。\n      全新的士气系统：士气低靡时，将有强力首领带领直击敌方要害，更有战魂效果，可使能力大幅提升。\n      阵营转换：隐元会提供的隐蔽服务，如有意向可前往三大主城帮会区寻找“玄字陆捌”和“玄字伍叁”。\n      战魂令：50000威望送给您。
83	阵营战阶		ui\Image\Helper\战阶装备2.tga	恶人谷最高战阶威望装（纯阳）与纯阳剑属性图展示。恶人谷战阶商人--董海健<L 99>	ui\Image\Helper\战阶装备1.tga	浩气盟最高战阶威望装（天策）与天策枪属性图展示。浩气盟战阶商人--王雨瑶<L 100>			阵营战阶：\n      大江东去浪淘尽，多少风流人物。七星战十恶，曾经是武林佳话。如今江湖上人才辈出，一份新的江湖英雄榜，再次掀起血雨腥风。\n      侠士参与战场，阵营攻防战，击杀敌对阵营玩家等各种PVP活动，都可以获得战阶积分。每一周，浩气盟和恶人谷会分别排出自己阵营的战阶等级，授予各位侠士。参与PVP越积极的侠士，获得的排名自然就越高。同时对应各个等级的战阶，侠士们还可以获得对应等级的高级作战用装备。
84	阵营攻防战		ui\Image\Helper\阵营攻防战任务NPC.tga	阵营攻防战任务给予NPC分别是：浩气盟的王洵和恶人谷的何非笑。	ui\Image\Helper\攻防战任务奖励.tga	侠士们可通过完成攻防战的日常任务获得丰厚的威望、战阶积分等奖励。			阵营攻防战：\n     浩气盟与恶人谷的大战一触既发。每周一，三，五恶人谷发出击杀令，攻打浩气盟落雁城，挑战武林七星。 而每周二，四，六浩气盟会反击恶人谷，直接杀向烈风集，誓要彻底铲除十大恶人。\n     此六日的13:00~14:00、19:00~20:00、21:00~22:00、0:00~1:00、2:00~3:00这5个时段，是武林高手们内功发挥的最佳时候。参战前可事先接取任务，或直接进入作战地图，系统将会自动接取任务，完成任务可获得丰厚的奖励。另：周日的19:00~24:00侠士们可自由击杀敌对阵营首领。
85	据点争夺战		ui\Image\Helper\浩气恶人据点.tga	1、恶人谷、浩气盟在南屏山、昆仑和恶人谷和浩气盟地图均有各自的据点，且有守将守卫着。	ui\Image\Helper\南屏山据点.tga	2、据点守将一旦重伤，埋伏在据点内的奸细会迅速出动占据据点，并且为自己阵营的侠士们提供重伤后的治疗。	ui\Image\Helper\昆仑据点.tga	3、各据点被抢下以后，只拥有一个小时的控制权。之后新的据点守将会被派遣过来拿回据点，各位侠士要多加小心。	
86	士气系统		ui\Image\Helper\浩气盟援军首领.tga	1、在浩气盟，恶人谷，昆仑，南屏山四张地图战斗的侠士，将会因为击杀敌对侠士，敌对首领，敌对守卫等而影响自己阵营的士气。	ui\Image\Helper\恶人援军首领.tga	2、当自己阵营士气低落时，阵营内会派出援军，直击敌人要害所在。同时自己阵营的士气也会大涨。侠士们会获得战魂效果，能力大幅提升。	ui\Image\Helper\战魂buff.tga	3、当阵营一方士气占优势，刻度偏向优势一方，则可以攻击对方三个援军首领；而占劣势一方，在四张阵营地图将会享受“战魂”增益效果，个人能力大幅提升。	
87	阵营转换		ui\Image\Helper\转阵营NPC.tga	帮会阵营总管<L 102>       阵营大使<L 101>\n黑市商人<L 103>（需要在城市地图才可查看位置）	ui\Image\Helper\战魂令.tga	65级及以上的侠士都将会收到一封附有“战魂令”的信件，且加入阵营后方可使用此令，可获得5万阵营威望。			阵营转换及威望赠送：\n     各大城市里隐元会的朋友们将为侠士们提供转阵营服务。该服务不仅向个人开放，也向一次性转阵营的帮会开放。个人转阵营可寻找“玄字陆捌”，帮会转阵营可寻找“玄字伍叁”，成功转阵营后，可寻找“黑市商人”兑换当前阵营的装备和马匹。注意：只能从强势阵营转弱势阵营。\n     今日，浩气盟主谢渊，恶人谷主王遗风，都分别为其下弟子发出了战魂令牌。加入阵营的侠士使用令牌以后，可以立即获得50000威望，速速购买到合适的装备，为大战做好准备吧。
88	介绍	再会首，战江湖	ui\Image\Helper\再回首.tga						尘封账号再会首，共聚一堂战江湖\n      尘封账号的划定：10月25日前30天及以上没有登录游戏的帐号\n      活动时间：11月8日-12月9日\n      尘封回归侠士上线会获得【再会首-任逍遥】、【再会首-福星照】状态，再此两种状态下分别可享受到挑战秘境额外获得“紫陨”、“天外陨铁”、完成阵营日常可获得额外奖励；挖宝时有几率获得“紫陨”。且回归帐号登录游戏可到信使处拿取“回归大礼包”和“再会首套装礼盒”，可得到各种实用物品和三件110品紫色阵营装备。好处多多，不容错过。
89	纵横秘境		ui\Image\Helper\战江湖buff1.tga	尘封回归侠士登录游戏啊将会获得【再会首-任逍遥】状态，在此状态下，挑战秘境不仅自己受益，全团队均有好处。	ui\Image\Helper\战江湖buff3.tga	拥有此状态的侠士与拥有【再会首-任逍遥】状态的侠士一起挑战团队秘境，将额外获得紫陨和天外陨铁。			纵横秘境\n      四大灵药，助你强力回归主流秘境。一人回归，全团收益，一人入团，陨铁不难。尘封侠士回归团队，会为团队整体带来额外的【紫陨】和【天外陨铁】掉落，让你的团队更需要你，也让你收益更多，成长更迅速。\n      注意：此活动时间为：11月8日-11月29日。
90	驰骋阵营		ui\Image\Helper\再会首套装礼盒.tga	礼盒中赠送110品阵营紫色品质装备护手，鞋子，衣服。	ui\Image\Helper\再会首套装选择.tga	可根据自身的门派及内功心法进行选择。			烽火战魂劫，阵营任驰骋\n      尘封回归侠士会收到【再会首套装礼盒】，礼盒中赠送110品阵营紫色品质装备护手，鞋子，衣服。让您回归后的阵营之旅有个精彩的开始。\n      两大阵营共八个阵营日常任务获得金钱威望奖励统统加倍，让你回归之后的阵营日常收益更多！\n      礼盒赠送时间：11月8日-12月9日\n      阵营任务奖励翻倍持续时间：11月8日-11月29日。
91	寻宝得宝		ui\Image\Helper\战江湖buff2.tga	尘封侠士回归游戏，会获得【再会首-福星照】的状态，带有此状态侠士参与寻宝就能得到宝物“紫陨”，此活动时间为：11月8日-11月29日。	ui\Image\Helper\宝箱.tga	寻宝可得到宝盒“锁住的雕纹宝盒”，“锁住的朱漆宝盒”打开均可得到锡制宝箱,精铁宝箱。			寻宝得宝\n      尘封侠士回归游戏，会获得【再会首-福星照】的状态带有此状态,侠士参与寻宝就能得到宝物【紫陨】，并且还可获得“锁住的雕纹宝盒”，“锁住的朱漆宝盒”打开均可得到锡制宝箱,精铁宝箱。这些宝箱，当前交易行市价均高达几十金，几百金，因此只要你积极参与寻宝，就可以轻松日进千金！休闲寻宝，摆脱捉襟见肘的困境！
92	回归大礼包		ui\Image\Helper\回归大礼包.tga	尘封回归侠士登录游戏可到信使处拿取“回归大礼包”，右键点击使用，便可获得礼物。	ui\Image\Helper\回归礼包内容.tga	回归礼包送出多种实用物品。			回归大礼包\n      尘封侠士回归即得大礼包，内有江湖四大灵药助你纵横秘境；活络金丹、九花玉露散助你早日经脉大成；紫陨、五铢钱助你早日得到高级装备和物品。\n      此活动时间：11月8日-12月9日。
93	战江湖		ui\Image\Helper\老君丹.tga	尘封玩家通过官网报名，可以在未来新开放的“战江湖”服务器中获得“战江湖活动礼包”，使用可获得各种实用物品。其中使用“老君丹”直升70级。	ui\Image\Helper\武学观止.tga	使用“武学观止”直接学会所入门派的所有武学招式。	ui\Image\Helper\隐元密令.tga	可使三大主城声望直接达到亲密，并任选一个江湖势力声望直升尊敬。详情敬请留意官网专题。	
94	介绍		ui\Image\Helper\毛驴.tga						冬日充值有好礼，骑着毛驴去赶集\n      为答谢广大侠士对《剑网3》的支持与厚爱,特举办冬日充值促销活动。本次充值活动所送奖品都将是首次问世的宝物--可爱无敌的坐骑小毛驴，能够提高60%的速度，无限拉风的马饰，拥有了它们，这个冬天你必定会成为万众瞩目的焦点。\n充值时间：2010.11.26维护后-2010.12.27日维护后。\n领取时间：2010.11.26日维护后-2011.1.27日7点。
95	可爱毛驴		ui\Image\Helper\毛驴1.tga	可爱毛驴，不同的体型坐上去，会有不同的感觉。\n累计充值达到60元及以上但不足120元，可是获得不了小毛驴的，只可获得马饰【厢妆挂饰】和【赤金挂饰】其中之一。	ui\Image\Helper\毛驴2.tga	达到120元及以上但不足180元时，便可到NPC黄字零零捌处领取一头可爱小毛驴外加马饰【厢妆挂饰】和【赤金挂饰】其中之一。	ui\Image\Helper\毛驴3.tga	累计充值达到180元或以上时不仅可获得一头可爱小毛驴，还可获得全部两种马饰。累计充值包含交易行购买通宝所兑换的时间。	
96	拉风马饰		ui\Image\Helper\厢妆挂饰.tga	厢妆挂饰--精致的木箱配上风筝，显得活泼又富有童趣。	ui\Image\Helper\赤金.tga	赤金马饰--一弓一箭尽显英姿。			注意事项：\n      1、每个帐号只能有一个角色在所充值的区服领取奖励。\n      2、每种奖励只能领取一次。\n      3、直接充通宝将不可参加本次充值促销活动，但在游戏内使用游戏金币购买通宝达到规定金额则可参加本次活动。\n      4、声讯渠道不参与本次充值促销活动。\n      5、5元面值的金山一卡通不参加此次充值活动。
97	领奖NPC		ui\Image\Helper\黄字零零捌.tga	充值奖励领取NPC“黄字零零捌”。	ui\Image\Helper\零零捌位置主城.tga	三大主城中均可找到，在节日大使身边的便是。	ui\Image\Helper\零零捌位置新手镇.tga	除了主城，新手镇也有哦，方便侠士们领取。	
98	介绍		ui\Image\Helper\冬至.tga						冬至活动\n      寅虎岁末冬至佳节临近，吃饺子，抛彩球，三才阵中战傲油更是火爆不停。侠士在长安扬州洛阳三地城市的活动区里，可以找到赶来的各种冬至商人，他们带来了冬至特有的货品，有心的侠士切莫错过哦！\n      活动时间：2010年12月20日7：00——2011年1月6日7:00\n      活动地点：三大主城城市活动区\n      活动奖励：御厨套装、135品紫色饰品、22格和20格背包、节日套书等。
99	缤纷活动		ui\Image\Helper\扔彩球.tga	大唐抛彩球的民俗由来已久，彩球制作精巧漂亮，代表祝福，大家互抛彩球，在玩乐间相互祝福，祝福好运。	ui\Image\Helper\冬至钱币.tga	到了冬至，必然要吃饺子。今年冬至的饺子中更是藏有四种吉庆钱币“福”“禄”“寿”“囍”，就看你能不能有幸吃得到喽。	ui\Image\Helper\冬至傲油.tga	挑战普通三才阵中的“傲油”可得到厨师装备，背包和书籍。要想引出他，只有使用【一盘生饺子】，可通过完成任务“不拘小节喜助人”和商店购买获得。	
100	御厨驾到		ui\Image\Helper\御厨装1.tga	御厨装部分展示：上衣、大菜刀、擀面杖。	ui\Image\Helper\御厨装2.tga	御厨装部分展示：小女孩身穿御厨装，后背大火腿。	ui\Image\Helper\肖双双.tga	打败傲油所获得的装备可与肖双双进行交换，便可获得高品质紫色御厨装，兑换时要准备足够的紫陨和金钱哦。可在主城活动区找到她，并且节后她也会一直在。	
101	节日商贩		ui\Image\Helper\冬至商人.tga	各主城活动区均有此三位商贩，要做饺子可找“徐福”买材料，想用“囍”钱换购物品便找“尤泽煦”，如果想买西域特色食品便找“雷诺思德”。	ui\Image\Helper\冬至商店1.tga	“尤泽煦”出售的各种物品，包括：彩球配方、各种吃食。	ui\Image\Helper\冬至商店2.tga	还有冬至专有的节日套书哦。	
103	介绍	春节乐翻天	ui\Image\Helper\新春.tga						      2011年兔年春节到来之际，春节活动正式开启：乖兔宠物随身带，压岁红包拜年来，迎春寻宝得福气，新春抽奖发大财，燃放彩灯祈心愿，烟花烂漫满天彩。\n      活动时间：2011.1.25更新后-2011.2.18早7点。\n      参与条件：10级以上（推荐20级）。\n      活动奖励：兔宝宝宠物（六种形象）、兔子阿甘宠物、兔耳朵帽子、22格包裹、各种节日特有烟花、彩灯及配方，百万金币大奖等你拿。\n      具体详情请关注官网专题。
104	拜年寻宝		ui\Image\Helper\有缘人.tga	每找到一个新春有缘人可获得“红包”奖励，红包可开出“梅良玉签”，“瑞”等物品。持有“梅良玉签”和“瑞”币，可以在春节节日商人那里购买各种道具。	ui\Image\Helper\兔耳朵.tga	寻宝探秘乃是发家致富的有效手段，根据罗盘的指示可以发掘出诸多宝藏。新春特有的宝箱中还有机会开出图中可爱的兔耳朵哦。			欢欢喜喜大拜年，寻宝奇兵大作战\n      三大主城车夫附近的“陆婉凝”会给予任务需要找到“燕小霞”，侠士按照燕小霞的“祥瑞春联”必定可以找到兔年新春有缘人！新春有缘人一共有33位，分布在世界各地。\n       新年寻宝，可以获得独特的新春宝藏：各种春节特有宝盒，召唤可爱兔子“兔秩秩”的萝卜、更有可参与百万奖金大抽奖活动的物品“玉兔呈祥”。侠士们可先至三大主城活动区的和尚“大师”处了解兔年春节寻宝的详细情况。
105	年兽抽奖		ui\Image\Helper\年兽.tga	砸年兽需配备“小银锤”或“小金锤”，小金锤相比砸年兽陶罐的成功几率会大一些。锤子可在主城活动区的节日商人“马莉颖”和“马莉傲”处购买。	ui\Image\Helper\抽奖.tga	迎新春抽大奖，完成主城活动区“金元宝”给予的任务便可获得图中展示的抽奖资格证明。活动期间，每个服务器都有奖金发放给被抽中的幸运侠士。			      砸年兽规则：砸年兽成功则积分翻倍，失败则积分归零。还可获得各种小彩头。侠士们也可在商人“马莉颖”处购买各种物品来提高成功几率或是减少失败损失积分。\n      积分使用：“叶飘零”处可换取“梅良玉签”，此签是换取各色宝贝的必备之物。\n      “玉兔献瑞”百万金币抽奖活动：春节期间,持有“迎春卡·寻宝”或“迎春卡·年兽”的侠士可寻找洛阳城内的“金元宝”老人参加抽奖活动。当日参与抽奖会注册号码，第二天早七点到第三天早七点为开奖领奖时间，侠士可持日期号码符合的卡券，到金元宝处领奖。
106	烟花彩灯		ui\Image\Helper\烟花彩灯.tga	主城活动区来了一对金童玉女，分别叫做“年华”和“倒影”，他们出售各种彩灯的配方及各种漂亮的烟花，还可将烟花放入彩灯放飞空中哦。	ui\Image\Helper\花灯.tga	放花灯，许心愿，祝来年心想事成。放花灯时别忘了写下一纸“许愿签”哟。许愿签可在年华处购买或是抄录《春节套书》换取。	ui\Image\Helper\年华倒影.tga	金童玉女：“年华”与“倒影”。	
107	特色宠物		ui\Image\Helper\兔秩秩.tga	活动期间，各种兔宝宝等着侠士们来疼爱哦，共有六种兔宝宝供侠士们选择。	ui\Image\Helper\阿甘.tga	兔子阿甘憨厚可爱。不过它可是有时限的哦，大家积极挖宝获取“机关部件”去兑换吧。			新春特色宠物\n      新春期间，为侠士们准备了各色可爱兔宝宝，共有六种形象可以选择哦，还有憨厚的兔子阿甘，有它们的陪伴江湖之路将不再寂寞。千万不要错过哦！\n      新春宠物有多种获取途径：通过挖宝、商店购买都可获得。
108	充值好礼1		ui\Image\Helper\兔祥祥.tga	充值累计达到60元及以上但不足120元时，可获得“莱菔萝卜”一个可召唤可爱“兔祥祥”，外加“未做完的如意帘”一个和“春节礼包”一个。	ui\Image\Helper\如意帘.tga	使用“未做完的如意帘”后可选择获得“如意帘”系列挂件的其中一个。集齐全套后可获得赠送的终极“恭喜发财”，面具哦！	ui\Image\Helper\春节礼包.tga	打开礼包可获得10个“醉生”和10个“寄忧谷”，砸年兽必备物品。	
109	充值好礼2		ui\Image\Helper\兔子阿甘.tga	充值累计达到120元以上，可获得“祥瑞阿甘”一个和60元的礼品外，再多一个“未做完的如意帘”。其中召唤出来的“瑞兔阿甘”可是带有商店修理功能哦。	ui\Image\Helper\零零捌位置主城.tga	礼品可至三大主城门口的隐元会宝库执掌使“黄字零零捌”处领取。			注意事项：\n      1、每种礼品每个帐号在所充值的区服只能领取一次，如果这个账号下有3个角色，则其中任何一个角色领取过后，则另外两个角色（包括可能的新建角色）都不能再次领取了。2、等级达到10级才可打开“春节礼包”。3、累计充值达到120以上每增加60元可额外领取一个“未做完的如意帘”和一个“春节礼包”。4、充值时间：2011.1.20维护后开启～2011.2.21维护后结束。5、礼品领取时间：2011.1.20早7点开始～2011.3.20早上7点结束。
110	介绍	春节乐翻天	ui\Image\Helper\新春.tga						      2011年兔年春节到来之际，春节活动正式开启：乖兔宠物随身带，压岁红包拜年来，迎春寻宝得福气，新春抽奖发大财，燃放彩灯祈心愿，烟花烂漫满天彩。\n      活动时间：2011.1.25更新后-2011.2.18早7点。\n      参与条件：10级以上（推荐20级）。\n      活动奖励：兔宝宝宠物（六种形象）、兔子阿甘宠物、兔耳朵帽子、22格包裹、各种节日特有烟花、彩灯及配方，百万金币大奖等你拿。\n      具体详情请关注官网专题。
111	介绍	新人计划	ui\Image\Helper\带新人.TGA						江山代有新人出，风云齐聚会巴蜀\n      新人养成全新开启\n      活动时间：2011年1月25日—2011年5月16日早7点\n      新人条件：1、活动期间内注册金山通行证，首个创建并登录的角色。\n      2、活动开启前已注册金山通行证，但从未登陆过游戏，在活动期内，该账号首个创建并登录的角色。\n      3、活动期间，从未在某一大区建立角色并登录的帐号，也可以在该大区获得新人资格。
112	秘法一		ui\Image\Helper\居魁印.tga	传功10倍修为等你拿，在活动期间给拥有“居魁印”的新侠士传功，传功方和新侠士双方都可以获得10倍修为奖励。	ui\Image\Helper\紫陨.tga	额外【紫陨】奖励，活动期间，拥有“居魁印”的新侠士和其他侠士组队参与战宝迦兰团队秘境（10人/25人），每个首领会额外多掉落1个【紫陨】，全团侠士都可获得。	ui\Image\Helper\剑茗套装商人.tga	一定数量的【紫陨】可以在各个门派的“套装兑换商“处兑换145品紫色剑茗装备。	
113	秘法二		ui\Image\Helper\认定东主.tga	拥有“居魁印”增益效果的侠士，鼠标点击其他侠士人物，再使用鼠标右键点击目标信息，在下拉菜单中选择“认定东主”选项，即可绑定对方为东主。	ui\Image\Helper\崔英.tga	新侠士还可以在三大主城日常任务区找到崔英，接取奖励丰富的日常任务，完成这些日常将会使东主和客卿都获得丰富的奖励。			      活动期间，拥有“居魁印”效果的新侠士，可以和70级的侠士建立“主客关系”。新侠士成为“客卿”，被绑定的侠士成为“东主”。\n      提示：新侠士（客卿）完成在崔英处接取的“侠义”系列日常后，被绑定的老玩家（东主）会收到通过邮件寄出的奖励。同时，老玩家（东主）可以通过协助自己的“客卿”完成“客卿?领取供养”任务，将自身的帮供赠予自己的“客卿”。
114	秘法三		ui\Image\Helper\中立大侠.tga	1月25日活动开启后，不论侠士是否有加入门派，所有“大侠”都可学习第二门派武学。同时，等级达到60级以上的大侠，入门时掌门人不会再废去你的武功了。	ui\Image\Helper\浩气大侠.tga	浩气盟第二门派武学训练师。	ui\Image\Helper\恶人大侠.tga	恶人谷第二门派武学训练师。	
115	介绍	春节乐翻天	ui\Image\Helper\新春.tga						      2011年兔年春节到来之际，春节活动正式开启：乖兔宠物随身带，压岁红包拜年来，迎春寻宝得福气，新春抽奖发大财，燃放彩灯祈心愿，烟花烂漫满天彩。\n      活动时间：2011.1.25更新后-2011.2.18早7点。\n      参与条件：10级以上（推荐20级）。\n      活动奖励：兔宝宝宠物（六种形象）、兔子阿甘宠物、兔耳朵帽子、22格包裹、各种节日特有烟花、彩灯及配方，百万金币大奖等你拿。\n      具体详情请关注官网专题。
116	拜年寻宝		ui\Image\Helper\有缘人.tga	每找到一个新春有缘人可获得“红包”奖励，红包可开出“梅良玉签”，“瑞”等物品。持有“梅良玉签”和“瑞”币，可以在春节节日商人那里购买各种道具。	ui\Image\Helper\兔耳朵.tga	寻宝探秘乃是发家致富的有效手段，根据罗盘的指示可以发掘出诸多宝藏。新春特有的宝箱中还有机会开出图中可爱的兔耳朵哦。			欢欢喜喜大拜年，寻宝奇兵大作战\n      三大主城车夫附近的“陆婉凝”会给予任务需要找到“燕小霞”，侠士按照燕小霞的“祥瑞春联”必定可以找到兔年新春有缘人！新春有缘人一共有33位，分布在世界各地。\n       新年寻宝，可以获得独特的新春宝藏：各种春节特有宝盒，召唤可爱兔子“兔秩秩”的萝卜、更有可参与百万奖金大抽奖活动的物品“玉兔呈祥”。侠士们可先至三大主城活动区的和尚“大师”处了解兔年春节寻宝的详细情况。
117	年兽抽奖		ui\Image\Helper\年兽.tga	砸年兽需配备“小银锤”或“小金锤”，小金锤相比砸年兽陶罐的成功几率会大一些。锤子可在主城活动区的节日商人“马莉颖”和“马莉傲”处购买。	ui\Image\Helper\抽奖.tga	迎新春抽大奖，完成主城活动区“金元宝”给予的任务便可获得图中展示的抽奖资格证明。活动期间，每个服务器都有奖金发放给被抽中的幸运侠士。			      砸年兽规则：砸年兽成功则积分翻倍，失败则积分归零。还可获得各种小彩头。侠士们也可在商人“马莉颖”处购买各种物品来提高成功几率或是减少失败损失积分。\n      积分使用：“叶飘零”处可换取“梅良玉签”，此签是换取各色宝贝的必备之物。\n      “玉兔献瑞”百万金币抽奖活动：春节期间,持有“迎春卡·寻宝”或“迎春卡·年兽”的侠士可寻找洛阳城内的“金元宝”老人参加抽奖活动。当日参与抽奖会注册号码，第二天早七点到第三天早七点为开奖领奖时间，侠士可持日期号码符合的卡券，到金元宝处领奖。
118	烟花彩灯		ui\Image\Helper\烟花彩灯.tga	主城活动区来了一对金童玉女，分别叫做“年华”和“倒影”，他们出售各种彩灯的配方及各种漂亮的烟花，还可将烟花放入彩灯放飞空中哦。	ui\Image\Helper\花灯.tga	放花灯，许心愿，祝来年心想事成。放花灯时别忘了写下一纸“许愿签”哟。许愿签可在年华处购买或是抄录《春节套书》换取。	ui\Image\Helper\年华倒影.tga	金童玉女：“年华”与“倒影”。	
119	特色宠物		ui\Image\Helper\兔秩秩.tga	活动期间，各种兔宝宝等着侠士们来疼爱哦，共有六种兔宝宝供侠士们选择。	ui\Image\Helper\阿甘.tga	兔子阿甘憨厚可爱。不过它可是有时限的哦，大家积极挖宝获取“机关部件”去兑换吧。			新春特色宠物\n      新春期间，为侠士们准备了各色可爱兔宝宝，共有六种形象可以选择哦，还有憨厚的兔子阿甘，有它们的陪伴江湖之路将不再寂寞。千万不要错过哦！\n      新春宠物有多种获取途径：通过挖宝、商店购买都可获得。
120	充值好礼1		ui\Image\Helper\兔祥祥.tga	充值累计达到60元及以上但不足120元时，可获得“莱菔萝卜”一个可召唤可爱“兔祥祥”，外加“未做完的如意帘”一个和“春节礼包”一个。	ui\Image\Helper\如意帘.tga	使用“未做完的如意帘”后可选择获得“如意帘”系列挂件的其中一个。集齐全套后可获得赠送的终极“恭喜发财”，面具哦！	ui\Image\Helper\春节礼包.tga	打开礼包可获得10个“醉生”和10个“寄忧谷”，砸年兽必备物品。	
121	充值好礼2		ui\Image\Helper\兔子阿甘.tga	充值累计达到120元以上，可获得“祥瑞阿甘”一个和60元的礼品外，再多一个“未做完的如意帘”。其中召唤出来的“瑞兔阿甘”可是带有商店修理功能哦。	ui\Image\Helper\零零捌位置主城.tga	礼品可至三大主城门口的隐元会宝库执掌使“黄字零零捌”处领取。			注意事项：\n      1、每种礼品每个帐号在所充值的区服只能领取一次，如果这个账号下有3个角色，则其中任何一个角色领取过后，则另外两个角色（包括可能的新建角色）都不能再次领取了。2、等级达到10级才可打开“春节礼包”。3、累计充值达到120以上每增加60元可额外领取一个“未做完的如意帘”和一个“春节礼包”。4、充值时间：2011.1.25更新维护后开启～2011.2.24维护后结束。5、礼品领取时间：2011.1.25更新后～2011.3.20结束。
