ID	Activity	TimeRepresent	Class	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText
73	战场周常	本周一7：00~下周一6：59	5	80;	2:100;3:100;8:50;	1				2		个人参与	<text>text="        可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/171"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/172"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/173"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/174"</text><text>text="的日常任务区的贡献昭示牌处接取任务" font=18</text>	<text>text="        50金，2500点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，250" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="，1个" font=198</text><text>text="锡制宝箱" font=198 link="ItemLinkInfo/5/6254"</text>	<text>text="        预计所需时间15分钟" font=168</text><text>text="\\\n        可前往长安、洛阳、扬州、成都的日常任务区的战魂牌处接取任务" font=18</text>	2								
74	声望日常	今日7：00~次日6：59	5	80;	6:100;8:60;					2		个人参与	<text>text="        可前往" font=18</text><text>text="无量山花祈山" font=168 link="NPCGuide/175"</text><text>text="处接取任务" font=18</text>	<text>text="        60金，560点九黎族声望，4个" font=198</text><text>text="青铜宝箱" font=198 link="ItemLinkInfo/5/6253"</text>	<text>text="        预计所需时间25分钟" font=168</text><text>text=" \\\n        1、可前往无量山的花祈山附近接取任务\\\n        2、九黎族声望达到一定程度可购买" font=18</text><text>text="帝俊号角" font=18 link="ItemLinkInfo/8/3877"</text><text>text="，" font=18</text><text>text="蚩尤蓑" font=18 link="ItemLinkInfo/8/3876"</text><text>text="，" font=18</text><text>text="115%霜夜驹九黎族声望" font=18 link="ItemLinkInfo/8/602"</text><text>text="，" font=18</text><text>text="精骑足饰" font=18 link="ItemLinkInfo/5/5109"</text><text>text="，" font=18</text><text>text="精骑鞍饰" font=18 link="ItemLinkInfo/5/5110"</text><text>text="，" font=18</text><text>text="精骑头饰" font=18 link="ItemLinkInfo/5/5111"</text><text>text="，" font=18</text><text>text="祈舞面具" font=18 link="ItemLinkInfo/5/10170"</text>	2								
75	战场日-丝绸之路	本战场日的12点~24点开放	4	80;	2:100;3:100;	2	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到17人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3								
76	战场-丝绸之路	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间20分钟 " font=168</text><text>text="  \\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到17人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcsichou1.tga	ui\Image\Active\zcsichou2.tga				
77	战场-丝绸之路	本战场日的12点~24点开放	4	80;	2:100;3:100;	5	0			1		25人对抗	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="长安" font=168 link="NPCGuide/62"</text><text>text="、" font=18</text><text>text="洛阳" font=168 link="NPCGuide/54"</text><text>text="、" font=18</text><text>text="扬州" font=168 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=168 link="NPCGuide/164"</text><text>text="战场报名人处参加跨服战场排队" font=18</text>	<text>text="        " font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        预计所需时间20分钟 " font=168</text><text>text=" \\\n        1、满80级的浩气盟、恶人谷玩家可组队或个人参与，双方人数均达到17人才可正常开启战场\\\n        2、12点~24点开放，12点开始时即可获得战阶积分和每日前三次额外奖励" font=18</text>	3	30;10;0;		ui\Image\Active\zcsichou1.tga	ui\Image\Active\zcsichou2.tga				
78	10人普通龙渊泽	每三天重置一次	2	80;	293	2				1		10人团队秘境	<text>text="        成都" font=18</text>	<text>text="        帮贡、金钱、209-211品紫装、天南王家声望（可至友好）、生活技能特殊材料" font=18</text>	<text>text="        王昭南和星宿老仙联手设立的英雄擂台——龙渊泽之擂。10人团队秘境，满80级玩家可从成都东南部进入" font=18</text>	1								
79	10人普通荻花圣殿	每三天重置一次	2	80;	293	2				1		10人团队秘境	<text>text="         枫华谷" font=18</text>	<text>text="         帮贡、金钱、209-211品紫装、拜火教声望（可至友好）、五彩石、生活技能特殊材料" font=18</text>	<text>text="         新的波澜，将在圣殿的密宫之中掀起，南诏的蓄谋，阿萨性的报复将在此展开。10人团队秘境，满80级的玩家可从枫华谷的荻花宫进入" font=18</text>	1								
80	25人普通龙渊泽	每周一早上7点重置	2	80;	262405	2	0			1		25人团队秘境	<text>text="         龙渊泽" font=18</text>	<text>text="         乌金陨铁、侠义值、帮贡、金钱、230-235品紫装、天南王家（可至敬重）、生活技能特殊材料" font=18</text>	<text>text="         王昭南和星宿老仙联手设立的英雄擂台——龙渊泽之擂。25人团队秘境，满80级玩家可从成都东南部进入" font=18</text>	1								
81	25人普通荻花圣殿	每周一早上7点重置	2	80;	262405	2	0			1		25人团队秘境	<text>text="         枫华谷" font=18</text>	<text>text="         乌金陨铁、侠义值、帮贡、金钱、230-235品紫装、拜火教（可至敬重）、生活技能特殊材料" font=18</text>	<text>text="         新的波澜，将在圣殿的密宫之中掀起，南诏的蓄谋，阿萨性的报复将在此展开。25人团队秘境，满80级的玩家可从枫华谷的荻花宫进入" font=18</text>	1								
82	科举-生成题库		3	1;	0	0	0			4					<text>text="每期开始科举试题更新" font=18</text>	3								
88	阵营战性能统计		4	1;	0	0	0			4				<text>text="阵营战性能统计" font=18</text>		3								
89	中秋活动·烟花表演		1	1~80;		1	0			0		全民参与	<text>text="扬州、长安、洛阳、成都" font=18</text>	<text>text="拾取道具可换得吉庆赏钱。" font=18</text>	<text>text="在各主城门口，会有烟花表演，各位侠士也可放飞花灯。" font=18</text>	3								
90	中秋活动·天狗抢月饼		1	20~80;		1	0			0		全民参与	<text>text="长安、成都、洛阳、扬州" font=18</text>	<text>text="天狗会掉落吉庆赏钱。" font=18</text>	<text>text="天狗的爪牙会定时出现，可以前往各主城地图寻找并击杀。" font=18</text>	3								
92	中秋活动·金秋共团圆		1	20~80;			0			0		全民参与	<text>text="扬州" font=18</text>	<text>text="神秘的节日奖励" font=18</text>	<text>text="中秋活动期间，每晚八点到十二点，神厨会带着大月饼在扬州出现，可前往领取奖励。" font=18</text>	3								
93	中秋活动·小饼的委托		1	20~80;		1	0			0		全民参与	<text>text="长安、洛阳、扬州、成都" font=18</text>	<text>text="完成小饼的任务可以获得金钱和吉庆赏钱" font=18</text>	<text>text="中秋活动期间每日早上七点到晚上七点半，小饼会在各主城门外出现，可前往接取任务。" font=18</text>	3								
94	美人图	全天开启。	3	80;	3:75;4:75;6:100;8:50;	5	0			0		个人可参与	<text>text="        可前往" font=18</text><text>text="瞿塘峡白帝城宫关" font=168 link="NPCGuide/144"</text><text>text="处上交美人图参与活动" font=18</text>	<text>text="        50至100金、10个" font=198</text><text>text="金缕玉札·美人图" font=198 link="ItemLinkInfo/5/10821"</text><text>text="、5个" font=198</text><text>text="绿林豪侠贡·美人图" font=198 link="ItemLinkInfo/5/10850"</text><text>text="（或者" font=198</text><text>text="战魂佩·美人图" font=198 link="ItemLinkInfo/5/10851"</text><text>text="）、五次抽奖的机会" font=198</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、击杀金汤寨、清风寨、万岭寨、鱼木寨相关帮众可获得" font=18</text><text>text="粗糙的纸张" font=18 link="ItemLinkInfo/5/10801"</text><text>text="，击杀镖车可获得" font=18</text><text>text="精美的空白画纸" font=18 link="ItemLinkInfo/5/10802"</text><text>text="\\\n        2、" font=18</text><text>text="精美的空白画纸" font=18 link="ItemLinkInfo/5/10802"</text><text>text="可对门派玩家作画，各门派的美人图均可上交，但是上交本次需求的画像每次可额外获得10金\\\n        3、每人每天可献贡五次，可获得5把" font=18</text><text>text="白帝城外务府宝箱钥匙" font=18 link="ItemLinkInfo/5/11155"</text>		5;	2	ui\Image\Active\meirentu1.tga	ui\Image\Active\meirentu2.tga	1			<text>text="随机获取的奖励列表如下：" font=198</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="精铁宝箱" font=77 link="ItemLinkInfo/5/6255"</text><text>text="富水" font=77 link="ItemLinkInfo/5/1832"</text><text>text="西市腔" font=77 link="ItemLinkInfo/5/1831"</text><text>text="菩提木" font=77 link="ItemLinkInfo/5/983"</text><text>text="天山雪水" font=77 link="ItemLinkInfo/5/976"</text><text>text="古井泉" font=77 link="ItemLinkInfo/5/975"</text><text>text="鼠尾叶" font=77 link="ItemLinkInfo/5/3552"</text><text>text="地黄" font=77 link="ItemLinkInfo/5/3551"</text><text>text="茜草" font=77 link="ItemLinkInfo/5/3550"</text><text>text="靛蓝" font=77 link="ItemLinkInfo/5/3283"</text><text>text="绢云母" font=77 link="ItemLinkInfo/5/3549"</text><text>text="千年冰芯" font=77 link="ItemLinkInfo/5/3302"</text><text>text="巨兽毛皮" font=77 link="ItemLinkInfo/5/3306"</text><text>text="天蛛丝" font=77 link="ItemLinkInfo/5/3308"</text><text>text="珍珠缀放" font=77 link="ItemLinkInfo/5/3288"</text><text>text="五色石" font=77 link="ItemLinkInfo/5/3543"</text><text>text="貂皮" font=77 link="ItemLinkInfo/5/3542"</text><text>text="金甲片" font=77 link="ItemLinkInfo/5/3539"</text><text>text="隐月线" font=77 link="ItemLinkInfo/5/1828"</text><text>text="巨兽血" font=77 link="ItemLinkInfo/5/968"</text><text>text="一壶星虹泉" font=80 link="ItemLinkInfo/5/9104"</text><text>text="锡制宝箱" font=80 link="ItemLinkInfo/5/6254"</text><text>text="，部分五彩石，部分五行石，金钱" font=198</text>
97	攻防期间南屏昆仑场景处理		4	1;	0	0	0			4					<text>text="攻防战开始前一小时，通过活动表在南屏山（周六）或昆仑（周日）场景刷新两阵营相应任务NPC" font=18</text>	3								
99	10人英雄龙渊泽	每三天重置一次	2	80;	293	2				1		10人团队秘境	<text>text="         成都" font=18</text>	<text>text="         侠义值、230~240紫色装备、天南王家声望（上限敬重）、帮贡、金钱、书籍、生活技能材料" font=18</text>	<text>text="         王昭南和星宿老仙联手设立的英雄擂台——龙渊泽之擂。10人团队秘境，满80级玩家可从成都东南部进入" font=18</text>	1								
100	10人英雄荻花圣殿	每三天重置一次	2	80;	293	2				1		10人团队秘境	<text>text="         枫华谷" font=18</text>	<text>text="         侠义值、230~240紫色装备、拜火教声望（上限敬重）、帮贡、金钱、书籍、 生活技能材料" font=18</text>	<text>text="         新的波澜，将在圣殿的密宫之中掀起，南诏的蓄谋，阿萨性的报复将在此展开。10人团队秘境，满80级的玩家可从枫华谷的荻花宫进入" font=18</text>	1								
101	25人英雄龙渊泽	每周一早上7点重置	2	80;	262406	2	0			1		25人团队秘境	<text>text="         龙渊泽" font=18</text>	<text>text="         乌金陨铁、侠义值、255~265紫色装备、天南王家声望（上限尊敬）、帮贡、金钱、书籍、生活技能材料" font=18</text>	<text>text="         王昭南和星宿老仙联手设立的英雄擂台——龙渊泽之擂。25人团队秘境，满80级玩家可从成都东南部进入" font=18</text>	1								
102	25人英雄荻花圣殿	每周一早上7点重置	2	80;	262405	2	0			1		25人团队秘境	<text>text="         枫华谷" font=18</text>	<text>text="         飞天玄晶、乌金陨铁、侠义值、255~265紫色装备、拜火教家声望（上限尊敬）、帮贡、金钱、书籍、生活技能材料" font=18</text>	<text>text="         新的波澜，将在圣殿的密宫之中掀起，南诏的蓄谋，阿萨性的报复将在此展开。25人团队秘境，满80级的玩家可从枫华谷的荻花宫进入" font=18</text>	1								
103	阵营战BOSS击杀个数重置		4	1;	0	0	0			4						3								
104	隐元追缉令	每天1、4、10、13、16、19、22时开启，持续1小时。	3	80;	1:100;4:100;8:60;	5	0			0		需要1至5人参与。	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="成都" font=168 link="NPCGuide/160"</text><text>text="莫离裳处参与活动。" font=18</text>	<text>text="       完成一轮任务可获得100金、20纳元丹、1000帮贡以及青铜、锡制、精铁宝箱各一个。并可以从以下奖励中选择一个：\\\n1.20监本印文\\\n2.160侠义值\\\n3.100金" font=18</text>	<text>text="        预计所需时间20分钟 " font=168</text><text>text="\\\n" font=18</text><text>text="        " font=202</text><text>text="1、完成3次《搜山检海追秘宝》可获得青铜宝箱，6次可获得锡制宝箱，10次可获得精铁宝箱。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、率先完成10次《搜山检海追秘宝》任务，第一名奖励素银宝箱和120点侠义值；第二名奖励5个精铁宝箱和60点侠义值；第三名奖励2个精铁宝箱和30点侠义值。\\\n       3、完成日常任务《天涯何处觅贼踪》可获得50金和以下奖励中的一个：20监本印文、160侠义值、100金。" font=18</text>	3	30;10;0;	2	ui\Image\Active\zhuijiling1.tga	ui\Image\Active\zhuijiling2.tga				
105	南屏昆仑之役·筹备	每周二、周四的10:00~22:00	4	80;	2:100;3:100;8:75;	5	0			0		个人可参与	<text>text="       " font=202</text><text>text="侠士可在主城日常接交处的" font=18</text><text>text="战魂牌" font=168 link="NPCGuide/171"</text><text>text="上接取任务。浩气盟玩家可前往" font=18</text><text>text="南屏山浩气盟调度使" font=168 link="NPCGuide/149"</text><text>text="或" font=18</text><text>text="昆仑浩气盟调度使" font=168 link="NPCGuide/146"</text><text>text="，恶人谷玩家可前往" font=18</text><text>text="南屏山恶人谷调度使" font=168 link="NPCGuide/151"</text><text>text="或" font=18</text><text>text="昆仑恶人谷调度使" font=168 link="NPCGuide/148"</text><text>text="，中立玩家可前往" font=18</text><text>text="南屏山隐元会使者" font=168 link="NPCGuide/150"</text><text>text="或" font=18</text><text>text="昆仑隐元会使者" font=168 link="NPCGuide/147"</text><text>text="处接取任务。" font=18</text>	<text>text="        75金，3500点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="（仅阵营玩家），350点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="（仅阵营玩家）。中立玩家的奖励为：75金，3500点帮贡" font=198</text>	<text>text="        " font=202</text><text>text="1、阵营玩家完成先发制人系列任务可增加本方1点战力值，并获得《功劳簿》，活动结束后，获得《功劳簿》的阵营玩家可前往主城日常接交处的战魂牌接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、中立玩家完成筹集粮草任务可为当前场景的进攻方增加1点粮草值。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、战力值将直接影响进攻阶段己方首领的战斗能力。进攻阶段，每100点的粮草值可以使进攻方护卫复活1次。" font=18</text>	3	30;10;0;	3	ui\Image\Active\kerenmoyu1.tga	ui\Image\Active\kerenmoyu2.tga				
106	南屏昆仑之役·进攻	每周二、周四的22：00~23：00。	4	80	2:100;3:100;8:100;	5	0			0		大规模野外战斗	<text>text="       " font=202</text><text>text=" 侠士亦可在主城日常接交处的" font=18</text><text>text="战魂牌" font=168 link="NPCGuide/171"</text><text>text="上接取任务。阵营玩家可前往南屏山（" font=18</text><text>text="恶人谷进攻首领" font=168 link="NPCGuide/154"</text><text>text="、" font=18</text><text>text="浩气盟战旗" font=168 link="NPCGuide/155"</text><text>text="）或昆仑（" font=18</text><text>text="浩气盟进攻首领" font=168 link="NPCGuide/152"</text><text>text="、" font=18</text><text>text="恶人谷战旗" font=168 link="NPCGuide/153"</text><text>text="）参与活动。" font=18</text>	<text>text="        失败方任务奖励：50金，1000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，100点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text><text>text="；胜利方任务奖励：150金，4500点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="，300点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="        " font=202</text><text>text="1、活动开启后，可人会在昆仑、莫雨会在南屏山同时向对方营地发起进攻。\\\n" font=18</text><text>text="        " font=202</text><text>text="2、率先击破对方战旗，或击败对方主将将获得本次活动的胜利。活动结束仍未分胜负，将以击杀人数决定胜负。\\\n" font=18</text><text>text="        " font=202</text><text>text="3、活动结束后，在筹备阶段获得《功劳簿》的阵营玩家可前往主城日常接交处的战魂牌接取奖励任务。根据进攻阶段的胜负，奖励会有所不同。" font=18</text>	3	30;10;0;	3	ui\Image\Active\kerenmoyu1.tga	ui\Image\Active\kerenmoyu2.tga				
110	美人图·潜行	全天开启。	3	80;	1:100;8:100;	5	0			0		个人可参与	<text>text="         可前往" font=18</text><text>text="瞿塘峡白帝城贾公" font=168 link="NPCGuide/145"</text><text>text="处接受任务委托" font=18</text>	<text>text="        100金，300" font=198</text><text>text="侠义值" font=198 link="Library/17/2/0"</text><text>text="，可参与一次抽奖" font=198</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、各种特色成就等待挑战\\\n        2、不经过易容是完成不了任务的\\\n        3、" font=18</text><text>text="腰牌袋子" font=18 link="ItemLinkInfo/5/11031"</text><text>text="是进入白帝城的通行证\\\n        4、贾公的几个孙女将尽最大可能帮助侠士" font=18</text>	3	0;	2	ui\Image\Active\qianxing1.tga	ui\Image\Active\qianxing2.tga	1			<text>text="随机获取的奖励列表如下：" font=198</text><text>text="真橙之心" font=68 link="ItemLinkInfo/5/7968"</text><text>text="蜀玉碎片" font=74 link="ItemLinkInfo/5/8932"</text><text>text="碧青石" font=74 link="ItemLinkInfo/5/8929"</text><text>text="火纹石" font=74 link="ItemLinkInfo/5/8934"</text><text>text="幻彩珠" font=74 link="ItemLinkInfo/5/8927"</text><text>text="断玉" font=74 link="ItemLinkInfo/5/8926"</text><text>text="鎏金宝箱" font=74 link="ItemLinkInfo/5/10032"</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="福禄宝箱" font=74 link="ItemLinkInfo/5/10370"</text><text>text="精铁宝箱" font=77 link="ItemLinkInfo/5/6255"</text><text>text="，4级、5级、6级五行石，3级、4级五彩石，侠义值，监本印文，威望，帮贡，金钱，不绑定蓝装，不绑定紫装" font=198</text>
111	主城茶馆	全天开启。	3	20~80;	1:100;4:100;8:100;	5	0			0		个人可参与	<text>text="        " font=202</text><text>text="可前往" font=18</text><text>text="洛阳" font=168 link="NPCGuide/143"</text><text>text="、" font=15</text><text>text="长安" font=168 link="NPCGuide/141"</text><text>text="、" font=15</text><text>text="扬州" font=168 link="NPCGuide/140"</text><text>text="、" font=15</text><text>text="成都" font=168 link="NPCGuide/142"</text><text>text="驿站附近的老板娘处接受任务委托。" font=18</text>	<text>text="        100金，3500点" font=198</text><text>text="帮贡" font=198 link="Library/17/1/0"</text><text>text="，3000点修为，240点" font=198</text><text>text="侠义值" font=198 link="Library/17/2/0"</text><text>text="，大量经验值" font=198</text>	<text>text="        预计所需时间20分钟  " font=168</text><text>text="\\\n        1、每人每日可接取十次老板娘的任务委托\\\n        2、放弃任务后十分钟内不能再次接受任务委托\\\n        3、完成十次任务委托的额外奖励需前往信使处获取" font=18</text>	3	0;	2	ui\Image\Active\chaguan1.tga	ui\Image\Active\chaguan2.tga				<text>text="思豪大神 要想办法链接道具啊啊 啊啊 啊  " font=202</text>
113	帮会食堂	每天8点、12点和18点开启，每次持续2小时。	3	1~80;	2:100;3:100;4:100;6:100;	5	0			0		单人完成	<text>text="         帮会领地的帮会大厅内。可在各主城帮会区帮会家园执事" font=18</text><text>text="玄字玖贰" font=32 link="NPCGuide/120"</text><text>text="处传送进帮会领地。" font=18</text>	<text>text="         阅历、声望、威望、帮贡获取速度加成以及增加血上限、命中、无双等各种强力增益效果。" font=198</text>	<text>text="         " font=18</text><text>text="预计所需时间2分钟。" font=101</text><text>text="\\\n         1、活动期间内，帮会所有成员均可在帮会大厅内享用到各种美食。\\\n         2、少侠食用后会为获得各种增益效果。\\\n         3、帮会天工树【吃遍天下】节点等级越高，侠士可享用的美食种类越多。\\\n" font=18</text>	3	30;10;0;	2	ui\Image\Active\banghuishitang1.tga	ui\Image\Active\banghuishitang2.tga				
114	元旦活动	每年的元旦前后开放	1	20~50;50~80;	3:100;4:100;7:100;8:100;	7	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="        " font=18</text><text>text="长安" font=168 link="NPCGuide/209"</text><text>text="、" font=168</text><text>text="洛阳" font=168 link="NPCGuide/211"</text><text>text="、" font=168</text><text>text="扬州" font=168 link="NPCGuide/212"</text><text>text="、" font=168</text><text>text="成都" font=168 link="NPCGuide/210"</text><text>text="、" font=168</text><text>text="龙门荒漠" font=168 link="NPCGuide/213"</text><text>text="。" font=18</text>	<text>text="        " font=18</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 11613, 1)\"</box><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 11615, 10)\"</box><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 11614, 1)\"</box><text>text="，三选一道具：10个" font=198</text><text>text="监本印文兑换券" font=198 link="ItemLinkInfo/5/10025"</text><text>text="、1000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、1000点" font=198</text><text>text="帮贡" font=198 link="Library/17/1/0"</text><text>text="。" font=198</text>	<text>text="        " font=18</text><text>text="每日参与预计所需时间20分钟" font=168</text><text>text="\\\n        1、20级玩家每日可前往主城苏慧蓉处领取" font=18</text><text>text="龙门金蛋" font=74 link="ItemLinkInfo/5/11613"</text><text>text="。\\\n        2、50级参加可参与每日可前往龙门荒漠凌燕丘处接受挑战，获得" font=18</text><text>text="胡月钥匙" font=77 link="ItemLinkInfo/5/11615"</text><text>text="和" font=18</text><text>text="飞剑盒钥匙" font=74 link="ItemLinkInfo/5/11614"</text><text>text="。\\\n        3、" font=18</text><text>text="胡月宝箱奖励列表" font=167</text><text>text="：" font=18</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="、精铁宝箱、锡制宝箱、各种材料，部分五彩石，部分五行石，金钱。\\\n        4、" font=18</text><text>text="龙门金蛋奖励列表" font=167</text><text>text="：" font=18</text><text>text="真橙之心" font=68 link="ItemLinkInfo/5/7968"</text><text>text="、" font=18</text><text>text="鎏金宝箱" font=74 link="ItemLinkInfo/5/10032"</text><text>text="、" font=18</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="、" font=18</text><text>text="福禄宝箱" font=74 link="ItemLinkInfo/5/10370"</text><text>text="、" font=18</text><text>text="蜀玉碎片" font=74 link="ItemLinkInfo/5/8932"</text><text>text="、" font=18</text><text>text="碧青石" font=74 link="ItemLinkInfo/5/8929"</text><text>text="、" font=18</text><text>text="火纹石" font=74 link="ItemLinkInfo/5/8934"</text><text>text="、" font=18</text><text>text="幻彩珠" font=74 link="ItemLinkInfo/5/8927"</text><text>text="、" font=18</text><text>text="断玉" font=74 link="ItemLinkInfo/5/8926"</text><text>text="，各级五行石和五彩石，侠义值，监本印文，威望，帮贡，金钱，不绑定蓝装，不绑定紫装。\\\n        5、" font=18</text><text>text="飞剑盒奖励列表" font=167</text><text>text="：" font=18</text><text>text="真·龙门飞剑" font=74 link="ItemLinkInfo/5/11632"</text><text>text="，加侠义值、威望、帮贡上限的物品，假剑。" font=18</text>	3		3	ui\Image\Active\yuandan1.tga	ui\Image\Active\yuandan2.tga	1			<text>text="胡月宝箱奖励列表：" font=198</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="精铁宝箱" font=77 link="ItemLinkInfo/5/6255"</text><text>text="富水" font=77 link="ItemLinkInfo/5/1832"</text><text>text="西市腔" font=77 link="ItemLinkInfo/5/1831"</text><text>text="菩提木" font=77 link="ItemLinkInfo/5/983"</text><text>text="天山雪水" font=77 link="ItemLinkInfo/5/976"</text><text>text="古井泉" font=77 link="ItemLinkInfo/5/975"</text><text>text="鼠尾叶" font=77 link="ItemLinkInfo/5/3552"</text><text>text="地黄" font=77 link="ItemLinkInfo/5/3551"</text><text>text="茜草" font=77 link="ItemLinkInfo/5/3550"</text><text>text="靛蓝" font=77 link="ItemLinkInfo/5/3283"</text><text>text="绢云母" font=77 link="ItemLinkInfo/5/3549"</text><text>text="千年冰芯" font=77 link="ItemLinkInfo/5/3302"</text><text>text="巨兽毛皮" font=77 link="ItemLinkInfo/5/3306"</text><text>text="天蛛丝" font=77 link="ItemLinkInfo/5/3308"</text><text>text="珍珠缀放" font=77 link="ItemLinkInfo/5/3288"</text><text>text="五色石" font=77 link="ItemLinkInfo/5/3543"</text><text>text="貂皮" font=77 link="ItemLinkInfo/5/3542"</text><text>text="金甲片" font=77 link="ItemLinkInfo/5/3539"</text><text>text="隐月线" font=77 link="ItemLinkInfo/5/1828"</text><text>text="巨兽血" font=77 link="ItemLinkInfo/5/968"</text><text>text="一壶星虹泉" font=80 link="ItemLinkInfo/5/9104"</text><text>text="锡制宝箱" font=80 link="ItemLinkInfo/5/6254"</text><text>text="，部分五彩石，部分五行石，金钱。" font=198</text><text>text="\\\n" font=18</text><text>text="龙门金蛋奖励列表：" font=198</text><text>text="真橙之心" font=68 link="ItemLinkInfo/5/7968"</text><text>text="蜀玉碎片" font=74 link="ItemLinkInfo/5/8932"</text><text>text="碧青石" font=74 link="ItemLinkInfo/5/8929"</text><text>text="火纹石" font=74 link="ItemLinkInfo/5/8934"</text><text>text="幻彩珠" font=74 link="ItemLinkInfo/5/8927"</text><text>text="断玉" font=74 link="ItemLinkInfo/5/8926"</text><text>text="鎏金宝箱" font=74 link="ItemLinkInfo/5/10032"</text><text>text="素银宝箱" font=74 link="ItemLinkInfo/5/10031"</text><text>text="福禄宝箱" font=74 link="ItemLinkInfo/5/10370"</text><text>text="精铁宝箱" font=77 link="ItemLinkInfo/5/6255"</text><text>text="，4级、5级、6级五行石，3级、4级五彩石，侠义值，监本印文，威望，帮贡，金钱，不绑定蓝装，不绑定紫装。" font=198</text><text>text="\\\n" font=18</text><text>text="飞剑盒奖励列表：" font=198</text><text>text="真·龙门飞剑" font=74 link="ItemLinkInfo/5/11632"</text><text>text="，加侠义值、威望、帮贡上限的物品，假剑。" font=198</text>
